renovation_type,bedrooms_to_reno,bathrooms_to_reno,sqft_renovated,sqft_to_add,material_grade,structural_changes,property_size,renovation_cost,pre_renovation_cost,post_renovation_value,location
"[""Bathroom"", ""Kitchen""]",0,1,438,151.0,budget-friendly,1,2251,75382.2,436803.37,485626.2322,442311.88738048566
"[""Bedroom"", ""Bathroom"", ""Kitchen""]",2,1,1048,0.0,mid-range,0,1689,166685.55,496943.06,579890.6626625,729059.2861618154
"[""Living room"", ""Kitchen""]",0,0,686,301.0,high-end,1,1729,100873.16,584452.47,644040.97395,550897.0231795768
"[""Kitchen"", ""Other/Custom""]",0,0,783,301.0,mid-range,1,3182,87607.36,582077.71,635867.5253499999,750964.4994797701
"[""Bedroom"", ""Kitchen""]",3,0,1255,644.0,budget-friendly,1,2175,170228.4,591603.05,670570.42025,588676.7985449556
"[""Bathroom"", ""Other/Custom""]",0,1,504,151.0,budget-friendly,1,2916,77017.02,822721.38,871085.7550500002,924298.1851105052
"[""Bedroom"", ""Bathroom"", ""Kitchen""]",7,3,2807,151.0,mid-range,1,3659,431007.9,503730.28,612948.1634363637,584356.9210885423
"[""Bedroom"", ""Bathroom""]",2,1,495,0.0,mid-range,0,1150,81611.57,289377.08,323766.03695000004,419376.4300117418
"[""Kitchen"", ""Other/Custom""]",0,0,372,140.00934579439252,mid-range,1,992,52577.39,326136.45,357374.4681,359371.8741154736
"[""Bedroom"", ""Kitchen""]",7,0,2331,644.0,mid-range,1,3816,337489.9600000001,1161364.83,1321201.1721,910626.421425757
"[""Living room"", ""Kitchen"", ""Other/Custom""]",0,0,1258,602.0,high-end,1,1736,149725.31,464056.98,533600.2698499999,422600.3971445641
"[""Full renovation""]",2,1,1329,0.0,high-end,0,1329,140845.88,449909.11,516634.16035,562615.8913025274
"[""Bedroom"", ""Bathroom""]",6,5,2366,151.0,mid-range,1,3336,448938.59,943777.62,1115343.171409091,910855.3220634278
"[""Bedroom"", ""Living room""]",3,0,1126,301.0,budget-friendly,1,1610,157349.76,313219.94,366075.804875,460825.5934515108
"[""Bathroom"", ""Other/Custom""]",0,1,495,0.0,high-end,0,3668,84980.28,698671.53,747037.8162,770940.0264432136
"[""Living room"", ""Other/Custom""]",0,0,396,0.0,high-end,0,1015,54916.58,343594.3,366870.6858999999,359371.8741154736
"[""Living room"", ""Kitchen""]",0,0,581,0.0,high-end,0,1372,60675.68000000001,463804.68,504243.7974,474953.67957478453
"[""Bedroom"", ""Bathroom""]",6,3,1979,151.0,mid-range,1,3219,348816.00000000006,621521.94,737539.3687999999,768381.9144879236
"[""Bedroom"", ""Other/Custom""]",4,0,1519,301.0,mid-range,1,2544,204674.39,458678.52,530031.13065,748385.3759477742
"[""Bathroom"", ""Living room""]",0,1,400,0.0,budget-friendly,0,1443,49225.1,497953.39,527659.5217,512787.1344803147
"[""Bedroom"", ""Bathroom"", ""Kitchen""]",6,3,2479,795.0,mid-range,1,3929,409396.00000000006,505507.5,615076.250625,584356.9210885423
"[""Bathroom"", ""Other/Custom""]",0,1,451,151.0,high-end,1,1778,96982.2,503071.49,550167.7607,729059.2861618154
"[""Bathroom"", ""Other/Custom""]",0,1,205,0.0,budget-friendly,0,759,43400.95,207342.44,226908.505325,259110.37473145
"[""Kitchen"", ""Other/Custom""]",0,0,372,136.86915887850466,budget-friendly,1,968,45064.4,251314.96,276481.4362,607003.9708666095
"[""Bedroom"", ""Bathroom"", ""Other/Custom""]",2,1,826,190.006993006993,mid-range,1,1192,117191.67,313628.54,360392.2410125,420882.7322267811
"[""Living room"", ""Kitchen"", ""Other/Custom""]",0,0,1215,602.0,high-end,1,1672,152174.39,562358.36,637882.0349,549128.4854811856
"[""Living room"", ""Kitchen""]",0,0,746,0.0,mid-range,0,1739,78873.94,482503.52,529061.4695,729059.2861618154
"[""Full renovation""]",7,4,4063,301.0,budget-friendly,1,4063,439345.91,550464.05,657804.53975,584499.0331593506
"[""Bathroom"", ""Kitchen""]",0,1,520,0.0,budget-friendly,0,3518,75248.39,880572.46,956545.6875250001,898392.8709650495
"[""Living room"", ""Kitchen""]",0,0,779,301.0,budget-friendly,1,3499,82520.31,820624.01,882927.085775,864290.96920644
"[""Bedroom"", ""Bathroom"", ""Living room""]",3,1,1338,0.0,mid-range,0,2259,192242.08,663971.32,743869.9885599999,724209.6059686558
"[""Full renovation""]",3,2,2184,0.0,high-end,0,2184,246636.53,547823.17,653865.26755,588676.7985449556
"[""Bathroom"", ""Other/Custom""]",0,1,544,452.0,budget-friendly,1,3374,84544.53,668168.43,714210.9258750001,750964.4994797701
"[""Bedroom"", ""Kitchen""]",3,0,998,0.0,mid-range,0,1389,114552.14,323349.43,374413.648975,884761.8567269483
"[""Bedroom"", ""Kitchen""]",2,0,778,234.46386946386946,mid-range,1,1490,85797.08,386112.78,430513.9353,422600.3971445641
"[""Bathroom"", ""Living room""]",0,1,436,0.0,high-end,0,3229,89244.17000000001,595290.29,642599.5748000001,748201.1019928089
"[""Bedroom"", ""Bathroom"", ""Other/Custom""]",4,2,1746,0.0,mid-range,0,2243,284163.56000000006,644595.32,754662.5448285714,924298.1851105052
"[""Living room"", ""Kitchen""]",0,0,640,301.0,mid-range,1,1908,97803.19,368774.73,416177.5976999999,442311.88738048566
"[""Living room"", ""Kitchen""]",0,0,853,301.0,high-end,1,1926,96158.61,372830.12,420618.62712499994,442581.28692691075
"[""Bathroom"", ""Kitchen""]",0,1,497,301.0,budget-friendly,1,6027,76983.01,2102375.81,2251613.2616000003,2505340.7489834023
"[""Living room"", ""Kitchen""]",0,0,751,301.0,budget-friendly,1,2072,84855.73000000001,410178.06,454729.209675,442311.88738048566
"[""Living room"", ""Kitchen"", ""Other/Custom""]",0,0,1194,0.0,mid-range,0,2810,113532.13,545747.29,605500.87835,636523.1519029945
"[""Living room"", ""Kitchen""]",0,0,684,0.0,mid-range,0,1654,76050.35999999999,445546.99,489552.4679499999,480164.60953967203
"[""Bathroom"", ""Living room""]",0,1,496,0.0,mid-range,0,2559,77393.64,643442.19,687124.4523,864290.96920644
"[""Bathroom"", ""Living room""]",0,1,269,0.0,budget-friendly,0,861,40319.509999999995,318940.04,340604.0942,551406.6991672434
"[""Bathroom"", ""Living room""]",0,1,536,151.0,budget-friendly,1,3160,77017.02,630436.72,673032.55525,770940.0264432136
"[""Bedroom"", ""Bathroom""]",2,1,536,0.0,mid-range,0,1223,79447.92,369705.69,405822.95550000004,512787.1344803147
"[""Full renovation""]",3,2,1691,301.0,mid-range,1,1691,234268.96,333919.18,401537.81395,442311.88738048566
"[""Bathroom"", ""Living room""]",0,1,441,0.0,mid-range,0,1895,76895.17,618198.09,660966.01125,549128.4854811856
"[""Full renovation""]",3,2,1853,0.0,high-end,0,1853,246636.53,480127.37,580954.1177,588676.7985449556
"[""Bedroom"", ""Bathroom""]",5,4,1898,644.0,mid-range,1,3023,387634.09,556188.91,661864.8029,633749.447976567
"[""Living room"", ""Other/Custom""]",0,0,733,0.0,mid-range,0,3066,78729.42,588075.23,621696.1257499999,632017.9335746003
"[""Living room"", ""Other/Custom""]",0,0,846,301.0,mid-range,1,2963,88103.77,538624.33,574456.3825,632017.9335746003
"[""Bathroom"", ""Other/Custom""]",0,1,453,0.0,budget-friendly,0,1673,69455.5,575111.82,613201.8245999999,550897.0231795768
"[""Bedroom"", ""Bathroom"", ""Other/Custom""]",3,2,1485,0.0,mid-range,0,1784,226460.07,586983.19,675927.60775,491813.312765633
"[""Bedroom"", ""Bathroom"", ""Kitchen""]",1,1,322,64.94164456233422,mid-range,1,752,68255.82,192528.89,225581.20670000004,258538.89048027052
"[""Bathroom"", ""Other/Custom""]",0,1,376,168.006993006993,budget-friendly,1,1187,52089.6,299834.05,324846.6235,257189.58842055334
"[""Living room"", ""Kitchen""]",0,0,770,0.0,budget-friendly,0,2569,70935.8,480626.85,523535.79824999993,632017.9335746003
"[""Living room"", ""Kitchen"", ""Other/Custom""]",0,0,1127,301.0,high-end,1,1727,136497.64,259998.9,313948.67175,337972.4055670806
"[""Living room"", ""Kitchen"", ""Other/Custom""]",0,0,1062,301.0,mid-range,1,3777,130702.16,688267.22,761063.9360999999,750964.4994797701
"[""Full renovation""]",1,1,841,120.25233644859813,budget-friendly,1,841,74977.16,272551.27,307309.22515,362556.9047908152
"[""Bathroom"", ""Kitchen""]",0,1,531,0.0,budget-friendly,0,3638,75248.39,695534.69,760405.6513250001,768096.9796926685
"[""Living room"", ""Other/Custom""]",0,0,659,602.0,high-end,1,2846,98972.96,856639.12,901407.4863999999,926886.3923402497
"[""Living room"", ""Kitchen""]",0,0,773,301.0,mid-range,1,6575,84026.94,2324613.57,2455689.66675,2500823.911981166
"[""Bathroom"", ""Kitchen""]",0,1,539,0.0,budget-friendly,0,3861,74134.98,491600.55,543893.08935,584356.9210885423
"[""Living room"", ""Kitchen""]",0,0,636,0.0,mid-range,0,1640,78873.94,474992.88,521212.85069999995,722057.5300960252
"[""Full renovation""]",8,6,4161,301.0,high-end,1,4161,561355.23,552255.77,668229.4817,585322.9444696801
"[""Bathroom"", ""Other/Custom""]",0,1,407,0.0,mid-range,0,1480,53095.44,438161.68,468031.594,468125.1879910406
"[""Bathroom"", ""Other/Custom""]",0,1,339,0.0,mid-range,0,1104,54160.93,258317.44,283127.65615,259110.37473145
"[""Bedroom"", ""Bathroom"", ""Living room""]",3,2,1512,322.0,high-end,1,1966,258844.66000000003,528434.64,627765.0820500001,586295.9356004093
"[""Full renovation""]",2,1,1164,164.62937062937064,mid-range,1,1164,122894.16999999998,181058.03,217722.28107499998,337972.4055670806
"[""Bedroom"", ""Bathroom"", ""Kitchen""]",1,1,306,59.397877984084886,budget-friendly,1,562,63625.34,119276.25,144622.45312500003,453214.30405612406
"[""Bedroom"", ""Bathroom"", ""Other/Custom""]",3,2,1223,0.0,mid-range,0,1460,169502.1,466602.36,533993.5923,518778.0673718569
"[""Bathroom"", ""Other/Custom""]",0,1,539,452.0,budget-friendly,1,4110,84276.19,968939.8,1023922.9224250001,857843.3948752978
"[""Bathroom"", ""Kitchen""]",0,1,525,0.0,budget-friendly,0,2074,72981.07,521512.82,574697.9102,590999.7312847051
"[""Bedroom"", ""Bathroom"", ""Kitchen""]",5,3,2234,946.0,mid-range,1,3525,387223.25000000006,463731.8,564979.9096666666,584356.9210885423
"[""Bathroom"", ""Other/Custom""]",0,1,446,151.0,mid-range,1,2191,81215.65,414475.81,452493.01405,442311.88738048566
"[""Bedroom"", ""Bathroom"", ""Living room""]",3,1,1395,623.0,mid-range,1,1725,215020.33,427491.91,507646.64312499994,426006.7205032061
"[""Bathroom"", ""Other/Custom""]",0,1,268,0.0,budget-friendly,0,953,43633.92999999999,295662.54,317949.84967499995,419376.4300117418
"[""Kitchen"", ""Other/Custom""]",0,0,739,301.0,budget-friendly,1,2971,82048.88,739107.37,797597.2322499999,891671.9944522413
"[""Living room"", ""Kitchen""]",0,0,720,301.0,high-end,1,3471,103078.67,1003988.87,1083184.3302499999,924298.1851105052
"[""Bathroom"", ""Kitchen""]",0,1,236,115.80373831775701,mid-range,1,807,44508.72,235402.93,263547.3526,420882.7322267811
"[""Bathroom"", ""Other/Custom""]",0,1,501,151.0,high-end,1,2607,93252.11,757997.18,810810.9008750002,722057.5300960252
"[""Bedroom"", ""Bathroom""]",7,4,2402,926.0,mid-range,1,4115,464387.5300000001,990474.47,1166470.77605,891671.9944522413
"[""Living room"", ""Kitchen""]",0,0,703,301.0,high-end,1,2922,99847.05,532318.86,588473.8823249999,636523.1519029945
"[""Full renovation""]",1,1,811,116.32710280373831,budget-friendly,1,811,74977.16,217050.33,249310.74284999998,420882.7322267811
"[""Bedroom"", ""Bathroom"", ""Other/Custom""]",4,2,1733,322.0,mid-range,1,2000,294501.06,572195.99,680708.8723892857,722057.5300960252
"[""Bedroom"", ""Kitchen""]",4,0,1509,322.0,budget-friendly,1,2308,183933.29000000004,682512.01,768405.03745,722057.5300960252
"[""Bedroom"", ""Bathroom"", ""Living room""]",2,1,1061,0.0,mid-range,0,1690,152877.37,544334.39,608247.5031125001,512787.1344803147
"[""Bedroom"", ""Living room""]",2,0,664,0.0,mid-range,0,1141,81909.58,361082.24,392299.9913,362556.9047908152
"[""Bedroom"", ""Bathroom""]",5,3,1789,795.0,mid-range,1,3307,330541.72000000003,980321.46,1113851.7456,926886.3923402497
"[""Bathroom"", ""Living room""]",0,1,546,301.0,high-end,1,2845,99716.07,705159.08,759220.1554999999,607003.9708666095
"[""Bathroom"", ""Living room""]",0,1,432,0.0,mid-range,0,6830,75698.06,2333100.55,2426938.4554,2504340.910944834
"[""Living room"", ""Kitchen""]",0,0,841,0.0,budget-friendly,0,4176,75143.85,550251.51,598119.561825,584499.0331593506
"[""Bedroom"", ""Bathroom"", ""Living room""]",3,2,1598,774.0,budget-friendly,1,1869,245682.01,476619.41,564198.2265875,586295.9356004093
"[""Bedroom"", ""Kitchen""]",5,0,1770,0.0,mid-range,0,3443,234706.83,703816.8,809421.20745,764427.3883938657
"[""Living room"", ""Kitchen""]",0,0,383,142.62616822429908,high-end,1,1012,55538.44,258031.45,287554.01215,258538.89048027052
"[""Bathroom"", ""Kitchen""]",0,1,554,0.0,high-end,0,2004,85451.70999999999,418613.41,471288.39107500005,455750.6403917306
"[""Bedroom"", ""Bathroom""]",3,1,1020,0.0,budget-friendly,0,1684,149147.28,507802.83,568899.7035000001,722057.5300960252
"[""Bedroom"", ""Living room""]",2,0,770,233.71794871794873,mid-range,1,1485,85106.78,385783.33,418378.71564999997,471878.99087377987
"[""Kitchen"", ""Other/Custom""]",0,0,653,301.0,high-end,1,4426,91337.45,793964.15,859148.8643749999,748201.1019928089
"[""Living room"", ""Kitchen"", ""Other/Custom""]",0,0,590,147.20560747663552,high-end,1,1047,86658.6,219749.39,258235.45055,453214.30405612406
"[""Bedroom"", ""Living room""]",2,0,720,0.0,mid-range,0,1181,82776.07,383400.12,415225.58384999994,359371.8741154736
"[""Kitchen"", ""Other/Custom""]",0,0,522,0.0,budget-friendly,0,1107,52094.56,375445.65,408359.78145,515996.1562416109
"[""Bathroom"", ""Other/Custom""]",0,1,392,95.86013986013987,budget-friendly,1,1259,50382.78,411097.78,438923.41825000005,512787.1344803147
"[""Bedroom"", ""Bathroom""]",5,2,1688,322.0,high-end,1,2958,306149.85000000003,746861.18,868984.3951142858,607003.9708666095
"[""Bedroom"", ""Kitchen""]",5,0,1690,322.0,mid-range,1,2558,248718.58,772673.35,886411.7998999999,722057.5300960252
"[""Bedroom"", ""Bathroom""]",6,3,2096,151.0,mid-range,1,3645,370825.97,472460.9,561834.7535833333,583917.6428237398
"[""Bathroom"", ""Kitchen""]",0,1,485,301.0,budget-friendly,1,4163,76983.01,756880.05,825387.756,748385.3759477742
"[""Bathroom"", ""Living room""]",0,1,407,93.85314685314685,budget-friendly,1,1218,49225.1,272876.61,295830.43830000004,473663.46079924994
"[""Bedroom"", ""Bathroom""]",6,4,2161,151.0,mid-range,1,3784,399363.0800000001,490437.21,581658.53106,584499.0331593506
"[""Bedroom"", ""Living room""]",7,0,2378,301.0,mid-range,1,4072,317260.70999999996,1186060.03,1303193.1902687498,926886.3923402497
"[""Bathroom"", ""Living room""]",0,1,586,301.0,budget-friendly,1,1854,83921.66,496535.62,537237.5990500001,426006.7205032061
"[""Bathroom"", ""Living room""]",0,1,591,151.0,high-end,1,3984,96982.2,548937.9,597410.1630000001,584499.0331593506
"[""Bedroom"", ""Bathroom"", ""Other/Custom""]",1,1,398,0.0,high-end,0,765,77560.96,159081.42,189448.9794,456784.7012993054
"[""Full renovation""]",4,3,2566,0.0,mid-range,0,2566,298849.01999999996,395584.98,475690.93844999996,329482.05229326704
"[""Full renovation""]",4,2,2162,0.0,mid-range,0,2162,264646.41,567379.33,676275.019,586295.9356004093
"[""Living room"", ""Kitchen""]",0,0,851,301.0,mid-range,1,4669,96346.77,1087769.76,1167068.63175,864290.96920644
"[""Living room"", ""Other/Custom""]",0,0,806,0.0,budget-friendly,0,2725,74521.37,800879.66,835808.1761749999,722057.5300960252
"[""Bathroom"", ""Living room""]",0,1,465,0.0,high-end,0,7440,84583.59,2632217.39,2738462.119475,2492746.2538584336
"[""Bedroom"", ""Living room""]",5,0,1871,945.0,budget-friendly,1,2777,249392.58,819238.3,908215.0928499999,724209.6059686558
"[""Bedroom"", ""Living room""]",7,0,2294,623.0,mid-range,1,3445,325768.68999999994,682947.88,795198.4192562499,770940.0264432136
"[""Bedroom"", ""Other/Custom""]",7,0,2336,644.0,mid-range,1,3820,328538.81999999995,532156.11,623953.0389749999,584356.9210885423
"[""Bedroom"", ""Bathroom"", ""Other/Custom""]",2,1,1044,452.0,mid-range,1,1707,177536.92,328843.59,390501.76312500006,442311.88738048566
"[""Bedroom"", ""Kitchen""]",8,0,2649,322.0,mid-range,1,4917,370542.8,1135752.11,1304817.0796166665,857843.3948752978
"[""Kitchen"", ""Other/Custom""]",0,0,849,0.0,mid-range,0,2095,78375.47,681996.49,737374.6050999999,551406.6991672434
"[""Bedroom"", ""Bathroom"", ""Kitchen""]",3,1,1292,473.0,mid-range,1,1970,213008.88,367494.19,447424.176325,442581.28692691075
"[""Bedroom"", ""Bathroom"", ""Other/Custom""]",2,1,730,161.83916083916085,high-end,1,1145,120898.69,296113.33,343986.557425,607003.9708666095
"[""Full renovation""]",4,2,2496,0.0,high-end,0,2496,281219.88,770611.2,898091.2643999999,910626.421425757
"[""Living room"", ""Kitchen""]",0,0,856,0.0,high-end,0,2486,82930.94,743175.0,803363.1031499999,718133.5629715051
"[""Bathroom"", ""Living room""]",0,1,583,0.0,high-end,0,3644,89244.17000000001,673070.39,722713.0778000001,749690.1337423729
"[""Bathroom"", ""Living room""]",0,1,564,301.0,high-end,1,3110,93035.95,558155.64,604904.403075,749690.1337423729
"[""Bedroom"", ""Bathroom"", ""Kitchen""]",8,5,3228,603.0,mid-range,1,4678,569487.19,1135078.94,1382566.6874535715,891671.9944522413
"[""Bathroom"", ""Kitchen""]",0,1,255,0.0,high-end,0,833,51974.25,263622.77,296201.831825,361017.265710204
"[""Bathroom"", ""Living room""]",0,1,468,301.0,budget-friendly,1,4046,81970.57,522812.36,563702.681075,584356.9210885423
"[""Bedroom"", ""Kitchen""]",3,0,1146,623.0,mid-range,1,1764,178395.65,511978.74,590543.4293625,722057.5300960252
"[""Bedroom"", ""Kitchen""]",4,0,1331,322.0,mid-range,1,1908,205275.08999999997,557272.14,647011.0396499999,724209.6059686558
"[""Bedroom"", ""Bathroom"", ""Living room""]",3,1,1443,0.0,mid-range,0,2015,191743.61,588585.76,666067.33912,918049.8174818624
"[""Living room"", ""Kitchen""]",0,0,802,0.0,high-end,0,1696,91581.68,473920.53,525468.90825,729059.2861618154
"[""Living room"", ""Other/Custom""]",0,0,741,0.0,high-end,0,6514,80395.17,2399900.45,2461826.3990749996,2500823.911981166
"[""Living room"", ""Other/Custom""]",0,0,518,0.0,mid-range,0,1133,55325.43,379298.07,402415.05149999994,360382.72442315845
"[""Bedroom"", ""Bathroom"", ""Kitchen""]",1,1,414,141.25233644859813,mid-range,1,841,66346.48,199505.21,232042.9314,257189.58842055334
"[""Kitchen"", ""Other/Custom""]",0,0,730,301.0,budget-friendly,1,2678,77840.83,817300.81,877431.5954499999,910855.3220634278
"[""Full renovation""]",7,4,3636,0.0,high-end,0,3636,453375.15,716935.26,867491.6646,764427.3883938657
"[""Bedroom"", ""Bathroom"", ""Other/Custom""]",1,1,590,88.07692307692308,mid-range,1,1100,88816.54000000001,292694.11,329896.2261,420882.7322267811
"[""Bedroom"", ""Bathroom"", ""Kitchen""]",3,2,1481,623.0,mid-range,1,1801,251652.8,580687.4,694799.2760000001,549548.3606077654
"[""Living room"", ""Kitchen""]",0,0,834,0.0,mid-range,0,2230,79200.85,681870.95,737503.4104999999,918049.8174818624
"[""Bedroom"", ""Living room""]",2,0,747,0.0,mid-range,0,1378,82767.64,366773.03,398346.43205,420882.7322267811
"[""Bedroom"", ""Bathroom"", ""Living room""]",2,1,1037,301.0,mid-range,1,1589,127198.77,452811.73,506463.69445,471878.99087377987
"[""Bedroom"", ""Other/Custom""]",2,0,670,0.0,mid-range,0,1152,82081.73000000001,373991.42,405046.62759999995,362556.9047908152
"[""Full renovation""]",2,1,1020,0.0,budget-friendly,0,1020,103954.04,304303.05,349182.89924999996,362556.9047908152
"[""Living room"", ""Other/Custom""]",0,0,840,0.0,high-end,0,1725,82459.51000000001,340209.56,371905.8953749999,440857.28859962634
"[""Kitchen"", ""Other/Custom""]",0,0,862,301.0,budget-friendly,1,6714,80935.69,2432082.16,2566413.581875,2511284.4665295603
"[""Bedroom"", ""Other/Custom""]",8,0,2714,966.0,mid-range,1,4401,375017.18,793443.62,922850.6573666666,748201.1019928089
"[""Bathroom"", ""Living room""]",0,1,451,301.0,high-end,1,2109,93035.95,572487.54,619666.2600750001,589379.4798394532
"[""Bedroom"", ""Kitchen""]",4,0,1607,945.0,high-end,1,2730,243222.91000000003,528372.35,630953.3285899999,748385.3759477742
"[""Bedroom"", ""Bathroom"", ""Kitchen""]",9,4,3566,1439.0,mid-range,1,4141,617879.78,774928.74,944721.1621392858,748201.1019928089
"[""Bedroom"", ""Bathroom""]",4,2,1353,0.0,mid-range,0,2707,246329.59000000003,754348.59,855804.5164999999,724209.6059686558
"[""Living room"", ""Kitchen""]",0,0,843,0.0,budget-friendly,0,2844,74992.8,541939.84,589387.4187999999,748201.1019928089
"[""Bedroom"", ""Living room""]",3,0,1267,322.0,budget-friendly,1,2050,152362.2,474630.64,528030.11785,891671.9944522413
"[""Full renovation""]",10,7,5154,0.0,mid-range,0,5154,643159.5599999999,1240738.41,1491987.9380249998,891671.9944522413
"[""Bathroom"", ""Other/Custom""]",0,1,527,0.0,mid-range,0,2729,80772.23000000001,801333.26,850816.51025,910626.421425757
"[""Bedroom"", ""Bathroom"", ""Other/Custom""]",4,3,1894,644.0,budget-friendly,1,2266,311830.95,641572.21,756707.393425,722057.5300960252
"[""Bedroom"", ""Bathroom""]",7,5,2534,473.0,mid-range,1,3467,483193.9,713701.65,847074.6458437501,768096.9796926685
"[""Kitchen"", ""Other/Custom""]",0,0,716,0.0,mid-range,0,2098,79200.85,569099.66,619657.4124500001,586295.9356004093
"[""Bedroom"", ""Living room""]",4,0,1474,0.0,mid-range,0,2751,194870.69,836377.42,910307.3486499999,926886.3923402497
"[""Bedroom"", ""Bathroom"", ""Kitchen""]",7,3,2656,473.0,mid-range,1,4462,450813.19000000006,1107938.86,1315806.601190909,898392.8709650495
"[""Bathroom"", ""Living room""]",0,1,432,0.0,high-end,0,3178,82065.58,622182.15,667313.76405,768381.9144879236
"[""Bathroom"", ""Other/Custom""]",0,1,569,151.0,budget-friendly,1,3535,71761.12,481934.61,517920.98429999995,583628.098793705
"[""Bedroom"", ""Bathroom"", ""Other/Custom""]",6,4,2701,925.0,mid-range,1,3618,443943.74,863285.96,1023974.8693727273,898392.8709650495
"[""Bedroom"", ""Bathroom"", ""Living room""]",3,1,1106,689.06993006993,mid-range,1,1458,149595.36000000002,474588.49,536846.25526,467907.5515662078
"[""Living room"", ""Kitchen"", ""Other/Custom""]",0,0,1075,602.0,mid-range,1,6332,132236.92,2175380.79,2314927.55535,2504340.910944834
"[""Bedroom"", ""Kitchen""]",7,0,2278,966.0,mid-range,1,3243,346345.91000000003,645055.96,776889.271825,764427.3883938657
"[""Bedroom"", ""Living room""]",4,0,1469,0.0,mid-range,0,2058,196028.84000000003,555723.53,625220.38103,421138.5496460387
"[""Bedroom"", ""Bathroom"", ""Other/Custom""]",2,1,1007,0.0,high-end,0,1621,163583.24,232961.9,277515.86337499996,334674.9581336589
"[""Living room"", ""Kitchen""]",0,0,751,602.0,mid-range,1,4375,96250.87,1054512.19,1132284.2626,864290.96920644
"[""Living room"", ""Kitchen""]",0,0,564,189.8881118881119,budget-friendly,1,1336,52771.67,303327.22,332808.44589999993,456784.7012993054
"[""Bathroom"", ""Kitchen""]",0,1,494,301.0,budget-friendly,1,3060,82153.42,602958.31,664397.9852500001,455750.6403917306
"[""Bathroom"", ""Living room""]",0,1,249,0.0,mid-range,0,826,44373.85,197931.9,217847.61974999998,456784.7012993054
"[""Kitchen"", ""Other/Custom""]",0,0,588,206.6293706293706,budget-friendly,1,1450,54068.73,482559.12,520900.41487499996,491813.312765633
"[""Bedroom"", ""Bathroom""]",3,1,984,151.0,mid-range,1,1859,159954.49,500831.05,566241.64585,589670.1151351548
"[""Bathroom"", ""Kitchen""]",0,1,341,0.0,mid-range,0,1137,58037.95,319028.34,356451.99465,426006.7205032061
"[""Bathroom"", ""Other/Custom""]",0,1,527,0.0,budget-friendly,0,2805,69455.5,560500.88,598152.5564000001,742739.9151843397
"[""Full renovation""]",3,2,2260,301.0,high-end,1,2260,251628.04,561155.95,669445.2209499999,611849.4788960892
"[""Living room"", ""Kitchen"", ""Other/Custom""]",0,0,1169,301.0,mid-range,1,1864,127950.53,485084.03,547217.2283,599125.9764701508
"[""Bathroom"", ""Living room""]",0,1,473,151.0,high-end,1,3336,96982.2,629902.44,680803.6392,750964.4994797701
"[""Bedroom"", ""Kitchen""]",1,0,326,0.0,budget-friendly,0,828,44062.19,212377.62,235153.26989999996,258778.52985726285
"[""Bathroom"", ""Other/Custom""]",0,1,270,0.0,high-end,0,855,47256.33,214990.11,236679.97972499998,259451.67101114738
"[""Bathroom"", ""Living room""]",0,1,363,87.0979020979021,budget-friendly,1,1080,43438.38,424088.52,450168.47745,474953.67957478453
"[""Bedroom"", ""Bathroom"", ""Kitchen""]",3,1,1422,322.0,mid-range,1,1912,210591.93,517873.47,615914.11194,588676.7985449556
"[""Bathroom"", ""Other/Custom""]",0,1,524,151.0,budget-friendly,1,1740,77485.56,355686.87,390184.28579999995,441299.58650862484
"[""Bedroom"", ""Other/Custom""]",8,0,2478,322.0,high-end,1,4327,379982.39,784250.28,918875.0069666666,750964.4994797701
"[""Bedroom"", ""Kitchen""]",7,0,2358,644.0,mid-range,1,3876,317015.11000000004,762635.61,895030.7621062499,749690.1337423729
"[""Living room"", ""Kitchen"", ""Other/Custom""]",0,0,931,301.0,high-end,1,1554,102027.51,427746.93,480154.48259999993,471878.99087377987
"[""Living room"", ""Kitchen"", ""Other/Custom""]",0,0,1098,0.0,high-end,0,1614,134676.47999999998,490027.6,556522.0804,514826.1349765647
"[""Bedroom"", ""Bathroom""]",2,1,420,333.7943925233645,budget-friendly,1,1037,69723.57,358004.7,390010.52985000005,362201.48039049795
"[""Full renovation""]",2,1,1184,0.0,budget-friendly,0,1184,116469.15,379923.72,431961.03239999997,362556.9047908152
"[""Kitchen"", ""Other/Custom""]",0,0,682,0.0,mid-range,0,3065,78375.47,626421.97,679299.2317,770940.0264432136
"[""Living room"", ""Kitchen""]",0,0,257,105.66180371352786,budget-friendly,1,713,43863.23,279607.21,305348.50345,470718.2613586728
"[""Bedroom"", ""Bathroom"", ""Kitchen""]",4,3,1955,774.0,mid-range,1,2469,332889.0900000001,754281.46,904398.41095,718133.5629715051
"[""Bedroom"", ""Bathroom"", ""Living room""]",2,1,869,198.993006993007,mid-range,1,1398,114291.54,458392.97,508575.1874749999,514826.1349765647
"[""Bedroom"", ""Bathroom"", ""Living room""]",2,1,814,556.3240093240094,high-end,1,1209,125666.45,184081.64,219287.25365,337972.4055670806
"[""Living room"", ""Kitchen""]",0,0,745,301.0,budget-friendly,1,1767,84855.73000000001,438655.91,484488.5629249999,611849.4788960892
"[""Living room"", ""Other/Custom""]",0,0,774,0.0,budget-friendly,0,2163,74521.37,336773.87,364740.7993249999,329482.05229326704
"[""Bedroom"", ""Bathroom"", ""Living room""]",7,5,3023,624.0,mid-range,1,3528,508534.5200000001,690726.02,818643.1656269231,764615.9502687944
