renovation_type,bedrooms_to_reno,bathrooms_to_reno,sqft_renovated,sqft_to_add,material_grade,structural_changes,property_size,Location,renovation_cost
"[""Living room"", ""Other/Custom""]",0,0,"{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": 431, ""Other/Custom"": 352}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": 301, ""Other/Custom"": 301}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": ""High-end"", ""Other/Custom"": ""High-end""}}","[""Yes"", ""Yes""]",3106,Oldham,104248.34
"[""Bedroom"", ""Bathroom""]",2,1,"{""bedrooms"": [297, 314], ""bathrooms"": [113], ""other"": {}}","{""bedrooms"": [0, 322], ""bathrooms"": [151], ""other"": {}}","{""bedrooms"": [""High-end"", ""Mid-range""], ""bathrooms"": [""High-end""], ""other"": {}}","[""No"", ""Yes"", ""Yes""]",1631,Chorlton,144653.93
"[""Living room"", ""Other/Custom""]",0,0,"{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": 113, ""Other/Custom"": 129}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": 0, ""Other/Custom"": 0}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": ""Budget-friendly"", ""Other/Custom"": ""Mid-range""}}","[""No"", ""No""]",484,Manchester City Centre,44359.0
"[""Bathroom"", ""Other/Custom""]",0,1,"{""bedrooms"": [], ""bathrooms"": [150], ""other"": {""Other/Custom"": 359}}","{""bedrooms"": [], ""bathrooms"": [0], ""other"": {""Other/Custom"": 0}}","{""bedrooms"": [], ""bathrooms"": [""Budget-friendly""], ""other"": {""Other/Custom"": ""Mid-range""}}","[""No"", ""No""]",1904,Manchester City Centre,72097.68
"[""Bathroom"", ""Other/Custom""]",0,1,"{""bedrooms"": [], ""bathrooms"": [127], ""other"": {""Other/Custom"": 357}}","{""bedrooms"": [], ""bathrooms"": [0], ""other"": {""Other/Custom"": 0}}","{""bedrooms"": [], ""bathrooms"": [""High-end""], ""other"": {""Other/Custom"": ""Mid-range""}}","[""No"", ""No""]",1622,Didsbury,84583.59
"[""Living room"", ""Kitchen""]",0,0,"{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": 301, ""Kitchen"": 357}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": 0, ""Kitchen"": 301}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": ""Budget-friendly"", ""Kitchen"": ""Mid-range""}}","[""No"", ""Yes""]",1988,Didsbury,81480.3
"[""Bedroom"", ""Kitchen""]",5,0,"{""bedrooms"": [264, 274, 286, 265, 254], ""bathrooms"": [], ""other"": {""Kitchen"": 367}}","{""bedrooms"": [0, 0, 0, 322, 322], ""bathrooms"": [], ""other"": {""Kitchen"": 0}}","{""bedrooms"": [""Budget-friendly"", ""Mid-range"", ""Mid-range"", ""High-end"", ""Mid-range""], ""bathrooms"": [], ""other"": {""Kitchen"": ""High-end""}}","[""No"", ""No"", ""No"", ""Yes"", ""Yes"", ""No""]",2925,Bury,260785.09000000003
"[""Bedroom"", ""Bathroom"", ""Living room""]",3,2,"{""bedrooms"": [263, 242, 309], ""bathrooms"": [141, 140], ""other"": {""Living room"": 352}}","{""bedrooms"": [0, 322, 0], ""bathrooms"": [0, 0], ""other"": {""Living room"": 0}}","{""bedrooms"": [""Mid-range"", ""Mid-range"", ""High-end""], ""bathrooms"": [""Budget-friendly"", ""High-end""], ""other"": {""Living room"": ""Mid-range""}}","[""No"", ""Yes"", ""No"", ""No"", ""No"", ""No""]",1624,Didsbury,245053.02
"[""Full renovation""]",5,3,"{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Full renovation"": 2550}}","{""bedrooms"": [0, 0, 0, 0, 0], ""bathrooms"": [0, 0, 0], ""other"": {""Full renovation"": 0}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Full renovation"": ""High-end""}}","[""No""]",2550,Oldham,350005.83999999997
"[""Bedroom"", ""Bathroom""]",2,1,"{""bedrooms"": [224, 235], ""bathrooms"": [108], ""other"": {}}","{""bedrooms"": [0, 0], ""bathrooms"": [103.25174825174825], ""other"": {}}","{""bedrooms"": [""Budget-friendly"", ""High-end""], ""bathrooms"": [""Budget-friendly""], ""other"": {}}","[""No"", ""No"", ""Yes""]",1410,Salford,80685.56
"[""Living room"", ""Other/Custom""]",0,0,"{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": 388, ""Other/Custom"": 430}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": 301, ""Other/Custom"": 301}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": ""Mid-range"", ""Other/Custom"": ""High-end""}}","[""Yes"", ""Yes""]",2627,Prestwich,99573.29000000001
"[""Bedroom"", ""Bathroom"", ""Kitchen""]",5,3,"{""bedrooms"": [255, 268, 318, 249, 282], ""bathrooms"": [112, 121, 126], ""other"": {""Kitchen"": 366}}","{""bedrooms"": [0, 0, 0, 0, 0], ""bathrooms"": [0, 0, 0], ""other"": {""Kitchen"": 0}}","{""bedrooms"": [""High-end"", ""Budget-friendly"", ""High-end"", ""Budget-friendly"", ""High-end""], ""bathrooms"": [""Mid-range"", ""High-end"", ""High-end""], ""other"": {""Kitchen"": ""Mid-range""}}","[""No"", ""No"", ""No"", ""No"", ""No"", ""No"", ""No"", ""No"", ""No""]",2675,Rochdale,371201.85000000003
"[""Bedroom"", ""Bathroom""]",2,1,"{""bedrooms"": [232, 190], ""bathrooms"": [98], ""other"": {}}","{""bedrooms"": [0, 0], ""bathrooms"": [87.39160839160839], ""other"": {}}","{""bedrooms"": [""Budget-friendly"", ""High-end""], ""bathrooms"": [""Mid-range""], ""other"": {}}","[""No"", ""No"", ""Yes""]",1086,Sale,74465.13
"[""Bedroom"", ""Living room""]",2,0,"{""bedrooms"": [233, 232], ""bathrooms"": [], ""other"": {""Living room"": 300}}","{""bedrooms"": [0, 0], ""bathrooms"": [], ""other"": {""Living room"": 0}}","{""bedrooms"": [""Mid-range"", ""Budget-friendly""], ""bathrooms"": [], ""other"": {""Living room"": ""Budget-friendly""}}","[""No"", ""No"", ""No""]",1446,Didsbury,76973.75
"[""Living room"", ""Other/Custom""]",0,0,"{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": 435, ""Other/Custom"": 375}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": 301, ""Other/Custom"": 301}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": ""Mid-range"", ""Other/Custom"": ""Budget-friendly""}}","[""Yes"", ""Yes""]",1882,Levenshulme,92124.14000000001
"[""Living room"", ""Kitchen""]",0,0,"{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": 353, ""Kitchen"": 377}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": 0, ""Kitchen"": 0}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": ""High-end"", ""Kitchen"": ""Budget-friendly""}}","[""No"", ""No""]",3034,Prestwich,78873.94
"[""Living room"", ""Kitchen""]",0,0,"{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": 181, ""Kitchen"": 180}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": 0, ""Kitchen"": 135.69158878504672}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": ""Mid-range"", ""Kitchen"": ""Budget-friendly""}}","[""No"", ""Yes""]",959,Stockport,44856.31
"[""Bathroom"", ""Other/Custom""]",0,1,"{""bedrooms"": [], ""bathrooms"": [146], ""other"": {""Other/Custom"": 382}}","{""bedrooms"": [], ""bathrooms"": [151], ""other"": {""Other/Custom"": 301}}","{""bedrooms"": [], ""bathrooms"": [""Mid-range""], ""other"": {""Other/Custom"": ""Budget-friendly""}}","[""Yes"", ""Yes""]",2182,Salford,82879.39
"[""Living room"", ""Kitchen"", ""Other/Custom""]",0,0,"{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": 431, ""Kitchen"": 432, ""Other/Custom"": 346}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": 0, ""Kitchen"": 0, ""Other/Custom"": 301}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": ""Budget-friendly"", ""Kitchen"": ""Mid-range"", ""Other/Custom"": ""Mid-range""}}","[""No"", ""No"", ""Yes""]",3873,Tameside,122664.53
"[""Bedroom"", ""Bathroom"", ""Kitchen""]",5,4,"{""bedrooms"": [302, 272, 253, 259, 271], ""bathrooms"": [128, 119, 139, 128], ""other"": {""Kitchen"": 441}}","{""bedrooms"": [322, 0, 0, 0, 0], ""bathrooms"": [151, 0, 0, 151], ""other"": {""Kitchen"": 0}}","{""bedrooms"": [""High-end"", ""Mid-range"", ""Mid-range"", ""Budget-friendly"", ""Budget-friendly""], ""bathrooms"": [""Mid-range"", ""Mid-range"", ""Budget-friendly"", ""Mid-range""], ""other"": {""Kitchen"": ""Budget-friendly""}}","[""Yes"", ""No"", ""No"", ""No"", ""No"", ""Yes"", ""No"", ""No"", ""Yes"", ""No""]",2889,Rochdale,394212.25
"[""Bedroom"", ""Bathroom""]",4,2,"{""bedrooms"": [247, 267, 254, 313], ""bathrooms"": [118, 133], ""other"": {}}","{""bedrooms"": [0, 0, 0, 0], ""bathrooms"": [0, 151], ""other"": {}}","{""bedrooms"": [""Budget-friendly"", ""Budget-friendly"", ""Mid-range"", ""High-end""], ""bathrooms"": [""High-end"", ""Mid-range""], ""other"": {}}","[""No"", ""No"", ""No"", ""No"", ""No"", ""Yes""]",2680,Oldham,239750.28999999998
"[""Living room"", ""Other/Custom""]",0,0,"{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": 285, ""Other/Custom"": 298}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": 201.34265734265733, ""Other/Custom"": 0}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": ""Mid-range"", ""Other/Custom"": ""Mid-range""}}","[""Yes"", ""No""]",1414,Chorlton,54420.78
"[""Bedroom"", ""Bathroom"", ""Living room""]",6,3,"{""bedrooms"": [246, 313, 256, 260, 254, 273], ""bathrooms"": [131, 122, 131], ""other"": {""Living room"": 332}}","{""bedrooms"": [0, 0, 0, 0, 0, 0], ""bathrooms"": [151, 0, 0], ""other"": {""Living room"": 0}}","{""bedrooms"": [""High-end"", ""High-end"", ""Budget-friendly"", ""High-end"", ""High-end"", ""High-end""], ""bathrooms"": [""Budget-friendly"", ""Budget-friendly"", ""Mid-range""], ""other"": {""Living room"": ""High-end""}}","[""No"", ""No"", ""No"", ""No"", ""No"", ""No"", ""Yes"", ""No"", ""No"", ""No""]",2879,Oldham,401107.1900000001
"[""Full renovation""]",3,2,"{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Full renovation"": 2165}}","{""bedrooms"": [0, 0, 0], ""bathrooms"": [0, 0], ""other"": {""Full renovation"": 0}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Full renovation"": ""Budget-friendly""}}","[""No""]",2165,Salford,227225.3
"[""Bedroom"", ""Other/Custom""]",3,0,"{""bedrooms"": [302, 268, 286], ""bathrooms"": [], ""other"": {""Other/Custom"": 365}}","{""bedrooms"": [0, 0, 322], ""bathrooms"": [], ""other"": {""Other/Custom"": 0}}","{""bedrooms"": [""High-end"", ""Mid-range"", ""High-end""], ""bathrooms"": [], ""other"": {""Other/Custom"": ""Budget-friendly""}}","[""No"", ""No"", ""Yes"", ""No""]",2065,Ashton-under-Lyne,170974.15000000002
"[""Kitchen"", ""Other/Custom""]",0,0,"{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Kitchen"": 313, ""Other/Custom"": 370}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Kitchen"": 0, ""Other/Custom"": 0}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Kitchen"": ""High-end"", ""Other/Custom"": ""Mid-range""}}","[""No"", ""No""]",1764,Chorlton,87851.59
"[""Living room"", ""Kitchen"", ""Other/Custom""]",0,0,"{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": 395, ""Kitchen"": 439, ""Other/Custom"": 367}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": 0, ""Kitchen"": 0, ""Other/Custom"": 301}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": ""Budget-friendly"", ""Kitchen"": ""Mid-range"", ""Other/Custom"": ""Budget-friendly""}}","[""No"", ""No"", ""Yes""]",2705,Cheadle,117676.97
"[""Bedroom"", ""Living room""]",1,0,"{""bedrooms"": [160], ""bathrooms"": [], ""other"": {""Living room"": 199}}","{""bedrooms"": [0], ""bathrooms"": [], ""other"": {""Living room"": 139.74766355140187}}","{""bedrooms"": [""Mid-range""], ""bathrooms"": [], ""other"": {""Living room"": ""Mid-range""}}","[""No"", ""Yes""]",990,Stockport,45471.850000000006
"[""Bedroom"", ""Living room""]",3,0,"{""bedrooms"": [283, 278, 280], ""bathrooms"": [], ""other"": {""Living room"": 403}}","{""bedrooms"": [322, 0, 322], ""bathrooms"": [], ""other"": {""Living room"": 0}}","{""bedrooms"": [""Mid-range"", ""High-end"", ""Budget-friendly""], ""bathrooms"": [], ""other"": {""Living room"": ""High-end""}}","[""Yes"", ""No"", ""Yes"", ""No""]",2132,Levenshulme,178313.74
"[""Bedroom"", ""Kitchen""]",4,0,"{""bedrooms"": [256, 270, 247, 241], ""bathrooms"": [], ""other"": {""Kitchen"": 317}}","{""bedrooms"": [322, 0, 0, 0], ""bathrooms"": [], ""other"": {""Kitchen"": 0}}","{""bedrooms"": [""Mid-range"", ""High-end"", ""Mid-range"", ""Mid-range""], ""bathrooms"": [], ""other"": {""Kitchen"": ""Budget-friendly""}}","[""Yes"", ""No"", ""No"", ""No"", ""No""]",1908,Cheadle,205275.08999999997
"[""Bathroom"", ""Living room""]",0,1,"{""bedrooms"": [], ""bathrooms"": [149], ""other"": {""Living room"": 434}}","{""bedrooms"": [], ""bathrooms"": [0], ""other"": {""Living room"": 0}}","{""bedrooms"": [], ""bathrooms"": [""High-end""], ""other"": {""Living room"": ""Budget-friendly""}}","[""No"", ""No""]",3228,Bolton,80772.23000000001
"[""Bedroom"", ""Other/Custom""]",3,0,"{""bedrooms"": [253, 304, 283], ""bathrooms"": [], ""other"": {""Other/Custom"": 314}}","{""bedrooms"": [0, 0, 322], ""bathrooms"": [], ""other"": {""Other/Custom"": 0}}","{""bedrooms"": [""High-end"", ""Budget-friendly"", ""High-end""], ""bathrooms"": [], ""other"": {""Other/Custom"": ""High-end""}}","[""No"", ""No"", ""Yes"", ""No""]",1746,Ashton-under-Lyne,174704.24
"[""Bedroom"", ""Bathroom""]",8,6,"{""bedrooms"": [270, 278, 317, 319, 315, 245, 249, 309], ""bathrooms"": [124, 144, 144, 143, 114, 143], ""other"": {}}","{""bedrooms"": [0, 0, 0, 0, 0, 322, 0, 0], ""bathrooms"": [0, 0, 0, 0, 0, 0], ""other"": {}}","{""bedrooms"": [""High-end"", ""Mid-range"", ""Mid-range"", ""Mid-range"", ""Budget-friendly"", ""Budget-friendly"", ""Budget-friendly"", ""High-end""], ""bathrooms"": [""High-end"", ""High-end"", ""Budget-friendly"", ""High-end"", ""Budget-friendly"", ""High-end""], ""other"": {}}","[""No"", ""No"", ""No"", ""No"", ""No"", ""Yes"", ""No"", ""No"", ""No"", ""No"", ""No"", ""No"", ""No"", ""No""]",4099,Wigan,570476.38
"[""Bedroom"", ""Living room""]",2,0,"{""bedrooms"": [235, 185], ""bathrooms"": [], ""other"": {""Living room"": 267}}","{""bedrooms"": [0, 0], ""bathrooms"": [], ""other"": {""Living room"": 0}}","{""bedrooms"": [""Budget-friendly"", ""High-end""], ""bathrooms"": [], ""other"": {""Living room"": ""Mid-range""}}","[""No"", ""No"", ""No""]",1160,Withington,82767.64
"[""Bedroom"", ""Kitchen""]",5,0,"{""bedrooms"": [318, 279, 266, 276, 306], ""bathrooms"": [], ""other"": {""Kitchen"": 335}}","{""bedrooms"": [0, 0, 0, 0, 0], ""bathrooms"": [], ""other"": {""Kitchen"": 0}}","{""bedrooms"": [""High-end"", ""Budget-friendly"", ""High-end"", ""Mid-range"", ""High-end""], ""bathrooms"": [], ""other"": {""Kitchen"": ""Budget-friendly""}}","[""No"", ""No"", ""No"", ""No"", ""No"", ""No""]",3409,Tameside,239584.91000000003
"[""Living room"", ""Other/Custom""]",0,0,"{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": 400, ""Other/Custom"": 440}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": 0, ""Other/Custom"": 0}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": ""Mid-range"", ""Other/Custom"": ""High-end""}}","[""No"", ""No""]",1725,Ashton-under-Lyne,82459.51000000001
"[""Bedroom"", ""Bathroom""]",2,1,"{""bedrooms"": [297, 268], ""bathrooms"": [149], ""other"": {}}","{""bedrooms"": [322, 0], ""bathrooms"": [0], ""other"": {}}","{""bedrooms"": [""Budget-friendly"", ""High-end""], ""bathrooms"": [""Budget-friendly""], ""other"": {}}","[""Yes"", ""No"", ""No""]",1512,Chorlton,88723.59999999999
"[""Bedroom"", ""Bathroom"", ""Kitchen""]",5,2,"{""bedrooms"": [256, 255, 310, 307, 322], ""bathrooms"": [117, 117], ""other"": {""Kitchen"": 394}}","{""bedrooms"": [0, 0, 0, 0, 0], ""bathrooms"": [0, 0], ""other"": {""Kitchen"": 0}}","{""bedrooms"": [""Mid-range"", ""Budget-friendly"", ""Mid-range"", ""Mid-range"", ""Budget-friendly""], ""bathrooms"": [""Budget-friendly"", ""Mid-range""], ""other"": {""Kitchen"": ""Mid-range""}}","[""No"", ""No"", ""No"", ""No"", ""No"", ""No"", ""No"", ""No""]",2680,Rochdale,302011.68
"[""Bedroom"", ""Other/Custom""]",2,0,"{""bedrooms"": [201, 221], ""bathrooms"": [], ""other"": {""Other/Custom"": 300}}","{""bedrooms"": [0, 182.84615384615384], ""bathrooms"": [], ""other"": {""Other/Custom"": 0}}","{""bedrooms"": [""Budget-friendly"", ""High-end""], ""bathrooms"": [], ""other"": {""Other/Custom"": ""Mid-range""}}","[""No"", ""Yes"", ""No""]",1144,Levenshulme,85030.39
"[""Bathroom"", ""Living room""]",0,1,"{""bedrooms"": [], ""bathrooms"": [88], ""other"": {""Living room"": 195}}","{""bedrooms"": [], ""bathrooms"": [0], ""other"": {""Living room"": 0}}","{""bedrooms"": [], ""bathrooms"": [""Mid-range""], ""other"": {""Living room"": ""Budget-friendly""}}","[""No"", ""No""]",1054,Sale,45796.869999999995
"[""Kitchen"", ""Other/Custom""]",0,0,"{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Kitchen"": 250, ""Other/Custom"": 292}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Kitchen"": 0, ""Other/Custom"": 0}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Kitchen"": ""High-end"", ""Other/Custom"": ""High-end""}}","[""No"", ""No""]",1192,Sale,64693.93000000001
"[""Kitchen"", ""Other/Custom""]",0,0,"{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Kitchen"": 318, ""Other/Custom"": 447}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Kitchen"": 0, ""Other/Custom"": 0}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Kitchen"": ""Budget-friendly"", ""Other/Custom"": ""High-end""}}","[""No"", ""No""]",2146,Withington,80356.15
"[""Bathroom"", ""Kitchen""]",0,1,"{""bedrooms"": [], ""bathrooms"": [136], ""other"": {""Kitchen"": 328}}","{""bedrooms"": [], ""bathrooms"": [151], ""other"": {""Kitchen"": 0}}","{""bedrooms"": [], ""bathrooms"": [""High-end""], ""other"": {""Kitchen"": ""Mid-range""}}","[""Yes"", ""No""]",1711,Withington,93723.54000000001
"[""Living room"", ""Other/Custom""]",0,0,"{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": 366, ""Other/Custom"": 440}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": 0, ""Other/Custom"": 0}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": ""Mid-range"", ""Other/Custom"": ""Budget-friendly""}}","[""No"", ""No""]",2725,Cheadle,74521.37
"[""Bedroom"", ""Bathroom"", ""Living room""]",4,2,"{""bedrooms"": [306, 307, 289, 269], ""bathrooms"": [138, 115], ""other"": {""Living room"": 430}}","{""bedrooms"": [0, 0, 0, 0], ""bathrooms"": [151, 151], ""other"": {""Living room"": 301}}","{""bedrooms"": [""Budget-friendly"", ""High-end"", ""Mid-range"", ""Mid-range""], ""bathrooms"": [""Budget-friendly"", ""Mid-range""], ""other"": {""Living room"": ""Budget-friendly""}}","[""No"", ""No"", ""No"", ""No"", ""Yes"", ""Yes"", ""Yes""]",2425,Salford,272834.51999999996
"[""Bathroom"", ""Kitchen""]",0,1,"{""bedrooms"": [], ""bathrooms"": [79], ""other"": {""Kitchen"": 192}}","{""bedrooms"": [], ""bathrooms"": [0], ""other"": {""Kitchen"": 0}}","{""bedrooms"": [], ""bathrooms"": [""Mid-range""], ""other"": {""Kitchen"": ""High-end""}}","[""No"", ""No""]",918,Sale,52535.8
"[""Full renovation""]",4,2,"{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Full renovation"": 2537}}","{""bedrooms"": [0, 0, 0, 0], ""bathrooms"": [0, 0], ""other"": {""Full renovation"": 0}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Full renovation"": ""Mid-range""}}","[""No""]",2537,Rochdale,264646.41
"[""Living room"", ""Kitchen""]",0,0,"{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": 417, ""Kitchen"": 303}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": 0, ""Kitchen"": 301}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": ""High-end"", ""Kitchen"": ""High-end""}}","[""No"", ""Yes""]",1667,Salford,103078.67
"[""Bathroom"", ""Living room""]",0,1,"{""bedrooms"": [], ""bathrooms"": [145], ""other"": {""Living room"": 436}}","{""bedrooms"": [], ""bathrooms"": [0], ""other"": {""Living room"": 0}}","{""bedrooms"": [], ""bathrooms"": [""Mid-range""], ""other"": {""Living room"": ""Budget-friendly""}}","[""No"", ""No""]",4037,Wigan,74625.91
"[""Full renovation""]",3,2,"{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Full renovation"": 1873}}","{""bedrooms"": [0, 0, 0], ""bathrooms"": [0, 0], ""other"": {""Full renovation"": 0}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Full renovation"": ""High-end""}}","[""No""]",1873,Ashton-under-Lyne,246636.53
"[""Bathroom"", ""Living room""]",0,1,"{""bedrooms"": [], ""bathrooms"": [97], ""other"": {""Living room"": 257}}","{""bedrooms"": [], ""bathrooms"": [0], ""other"": {""Living room"": 0}}","{""bedrooms"": [], ""bathrooms"": [""High-end""], ""other"": {""Living room"": ""High-end""}}","[""No"", ""No""]",1178,Stockport,62291.91
"[""Bedroom"", ""Bathroom"", ""Living room""]",3,2,"{""bedrooms"": [284, 276, 276], ""bathrooms"": [130, 135], ""other"": {""Living room"": 388}}","{""bedrooms"": [0, 322, 0], ""bathrooms"": [0, 0], ""other"": {""Living room"": 0}}","{""bedrooms"": [""Mid-range"", ""Mid-range"", ""Mid-range""], ""bathrooms"": [""High-end"", ""High-end""], ""other"": {""Living room"": ""High-end""}}","[""No"", ""Yes"", ""No"", ""No"", ""No"", ""No""]",1793,Cheadle,261794.69
"[""Bathroom"", ""Kitchen""]",0,1,"{""bedrooms"": [], ""bathrooms"": [120], ""other"": {""Kitchen"": 314}}","{""bedrooms"": [], ""bathrooms"": [0], ""other"": {""Kitchen"": 301}}","{""bedrooms"": [], ""bathrooms"": [""Mid-range""], ""other"": {""Kitchen"": ""Mid-range""}}","[""No"", ""Yes""]",3469,Bolton,87711.9
"[""Living room"", ""Other/Custom""]",0,0,"{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": 358, ""Other/Custom"": 352}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": 0, ""Other/Custom"": 0}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": ""High-end"", ""Other/Custom"": ""Budget-friendly""}}","[""No"", ""No""]",3588,Wigan,78251.46
"[""Bedroom"", ""Living room""]",7,0,"{""bedrooms"": [248, 268, 299, 250, 275, 241, 264], ""bathrooms"": [], ""other"": {""Living room"": 446}}","{""bedrooms"": [0, 322, 0, 0, 0, 0, 0], ""bathrooms"": [], ""other"": {""Living room"": 0}}","{""bedrooms"": [""Mid-range"", ""Mid-range"", ""Budget-friendly"", ""High-end"", ""High-end"", ""Budget-friendly"", ""Budget-friendly""], ""bathrooms"": [], ""other"": {""Living room"": ""Budget-friendly""}}","[""No"", ""Yes"", ""No"", ""No"", ""No"", ""No"", ""No"", ""No""]",4135,Wigan,313852.68000000005
"[""Living room"", ""Other/Custom""]",0,0,"{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": 305, ""Other/Custom"": 396}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": 0, ""Other/Custom"": 301}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": ""Mid-range"", ""Other/Custom"": ""Mid-range""}}","[""No"", ""Yes""]",6521,Altrincham,83574.26
"[""Bedroom"", ""Bathroom"", ""Living room""]",4,2,"{""bedrooms"": [248, 314, 242, 247], ""bathrooms"": [137, 129], ""other"": {""Living room"": 390}}","{""bedrooms"": [322, 0, 0, 322], ""bathrooms"": [0, 0], ""other"": {""Living room"": 0}}","{""bedrooms"": [""Budget-friendly"", ""High-end"", ""High-end"", ""High-end""], ""bathrooms"": [""Budget-friendly"", ""Mid-range""], ""other"": {""Living room"": ""Budget-friendly""}}","[""Yes"", ""No"", ""No"", ""Yes"", ""No"", ""No"", ""No""]",2111,Stretford,294345.62
"[""Bathroom"", ""Kitchen""]",0,1,"{""bedrooms"": [], ""bathrooms"": [102], ""other"": {""Kitchen"": 261}}","{""bedrooms"": [], ""bathrooms"": [0], ""other"": {""Kitchen"": 0}}","{""bedrooms"": [], ""bathrooms"": [""Budget-friendly""], ""other"": {""Kitchen"": ""Budget-friendly""}}","[""No"", ""No""]",1192,Chorlton,49906.97
"[""Bedroom"", ""Bathroom"", ""Kitchen""]",6,5,"{""bedrooms"": [275, 280, 247, 316, 315, 287], ""bathrooms"": [135, 138, 125, 114, 148], ""other"": {""Kitchen"": 427}}","{""bedrooms"": [0, 0, 0, 0, 0, 0], ""bathrooms"": [0, 0, 0, 151, 0], ""other"": {""Kitchen"": 0}}","{""bedrooms"": [""Budget-friendly"", ""Mid-range"", ""Mid-range"", ""Mid-range"", ""Mid-range"", ""Budget-friendly""], ""bathrooms"": [""High-end"", ""Budget-friendly"", ""Budget-friendly"", ""Mid-range"", ""Budget-friendly""], ""other"": {""Kitchen"": ""Mid-range""}}","[""No"", ""No"", ""No"", ""No"", ""No"", ""No"", ""No"", ""No"", ""No"", ""Yes"", ""No"", ""No""]",3227,Withington,465690.0299999999
