renovation_type,bedrooms_to_reno,bathrooms_to_reno,sqft_renovated,sqft_to_add,material_grade,structural_changes,property_size,location,renovation_cost,pre_renovation_cost
"[""Bedroom"", ""Living room""]",7,0,"{""bedrooms"": [260, 274, 291, 258, 251, 292, 270], ""bathrooms"": [], ""other"": {""Living room"": 353}}","{""bedrooms"": [0, 0, 0, 0, 0, 0, 0], ""bathrooms"": [], ""other"": {""Living room"": 0}}","{""bedrooms"": [""High-end"", ""Budget-friendly"", ""Mid-range"", ""Budget-friendly"", ""Mid-range"", ""Mid-range"", ""High-end""], ""bathrooms"": [], ""other"": {""Living room"": ""Budget-friendly""}}","[""No"", ""No"", ""No"", ""No"", ""No"", ""No"", ""No"", ""No""]",3727,Wigan,309753.70999999996,506285.71
"[""Living room"", ""Kitchen""]",0,0,"{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": 430, ""Kitchen"": 365}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": 0, ""Kitchen"": 0}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": ""Budget-friendly"", ""Kitchen"": ""High-end""}}","[""No"", ""No""]",2730,Oldham,83082.71,496794.64
"[""Living room"", ""Kitchen"", ""Other/Custom""]",0,0,"{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": 121, ""Kitchen"": 125, ""Other/Custom"": 116}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": 0, ""Kitchen"": 0, ""Other/Custom"": 90.66312997347481}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": ""High-end"", ""Kitchen"": ""Budget-friendly"", ""Other/Custom"": ""High-end""}}","[""No"", ""No"", ""Yes""]",450,Manchester City Centre,73610.70999999999,146683.6
"[""Living room"", ""Kitchen"", ""Other/Custom""]",0,0,"{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": 438, ""Kitchen"": 328, ""Other/Custom"": 322}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": 0, ""Kitchen"": 301, ""Other/Custom"": 0}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": ""Budget-friendly"", ""Kitchen"": ""Mid-range"", ""Other/Custom"": ""Budget-friendly""}}","[""No"", ""Yes"", ""No""]",3689,Wigan,118555.97,483005.11
"[""Kitchen"", ""Other/Custom""]",0,0,"{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Kitchen"": 437, ""Other/Custom"": 362}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Kitchen"": 0, ""Other/Custom"": 0}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Kitchen"": ""Budget-friendly"", ""Other/Custom"": ""Mid-range""}}","[""No"", ""No""]",3365,Bury,75143.85,678823.84
"[""Bedroom"", ""Kitchen""]",3,0,"{""bedrooms"": [279, 289, 268], ""bathrooms"": [], ""other"": {""Kitchen"": 389}}","{""bedrooms"": [0, 0, 0], ""bathrooms"": [], ""other"": {""Kitchen"": 301}}","{""bedrooms"": [""High-end"", ""High-end"", ""High-end""], ""bathrooms"": [], ""other"": {""Kitchen"": ""Mid-range""}}","[""No"", ""No"", ""No"", ""Yes""]",1537,Cheadle,133427.03,462780.35
"[""Bathroom"", ""Living room""]",0,1,"{""bedrooms"": [], ""bathrooms"": [126], ""other"": {""Living room"": 376}}","{""bedrooms"": [], ""bathrooms"": [0], ""other"": {""Living room"": 301}}","{""bedrooms"": [], ""bathrooms"": [""High-end""], ""other"": {""Living room"": ""High-end""}}","[""No"", ""Yes""]",2141,Prestwich,99716.07,501150.49
"[""Full renovation""]",8,6,"{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Full renovation"": 4098}}","{""bedrooms"": [0, 0, 0, 0, 0, 0, 0, 0], ""bathrooms"": [0, 0, 0, 0, 0, 0], ""other"": {""Full renovation"": 0}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Full renovation"": ""High-end""}}","[""No""]",4098,Wigan,556363.72,557297.58
"[""Kitchen"", ""Other/Custom""]",0,0,"{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Kitchen"": 378, ""Other/Custom"": 386}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Kitchen"": 0, ""Other/Custom"": 0}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Kitchen"": ""High-end"", ""Other/Custom"": ""Budget-friendly""}}","[""No"", ""No""]",6304,Altrincham,83082.71,2266557.71
"[""Bedroom"", ""Bathroom""]",3,2,"{""bedrooms"": [231, 233, 240], ""bathrooms"": [110, 109], ""other"": {}}","{""bedrooms"": [0, 0, 0], ""bathrooms"": [0, 0], ""other"": {}}","{""bedrooms"": [""Budget-friendly"", ""Budget-friendly"", ""Budget-friendly""], ""bathrooms"": [""High-end"", ""Budget-friendly""], ""other"": {}}","[""No"", ""No"", ""No"", ""No"", ""No""]",1450,Didsbury,133295.33,413801.66
"[""Bedroom"", ""Bathroom"", ""Other/Custom""]",2,1,"{""bedrooms"": [247, 266], ""bathrooms"": [142], ""other"": {""Other/Custom"": 315}}","{""bedrooms"": [0, 0], ""bathrooms"": [0], ""other"": {""Other/Custom"": 0}}","{""bedrooms"": [""High-end"", ""Mid-range""], ""bathrooms"": [""Budget-friendly""], ""other"": {""Other/Custom"": ""Mid-range""}}","[""No"", ""No"", ""No"", ""No""]",1788,Bury,155624.59,376187.55
"[""Living room"", ""Other/Custom""]",0,0,"{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": 413, ""Other/Custom"": 396}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": 0, ""Other/Custom"": 0}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": ""Mid-range"", ""Other/Custom"": ""High-end""}}","[""No"", ""No""]",2164,Withington,82459.51000000001,564423.29
"[""Bathroom"", ""Other/Custom""]",0,1,"{""bedrooms"": [], ""bathrooms"": [143], ""other"": {""Other/Custom"": 313}}","{""bedrooms"": [], ""bathrooms"": [0], ""other"": {""Other/Custom"": 0}}","{""bedrooms"": [], ""bathrooms"": [""Mid-range""], ""other"": {""Other/Custom"": ""Mid-range""}}","[""No"", ""No""]",1559,Manchester City Centre,54248.8,530130.35
"[""Bedroom"", ""Bathroom"", ""Kitchen""]",3,1,"{""bedrooms"": [318, 295, 249], ""bathrooms"": [115], ""other"": {""Kitchen"": 445}}","{""bedrooms"": [322, 0, 0], ""bathrooms"": [0], ""other"": {""Kitchen"": 301}}","{""bedrooms"": [""High-end"", ""Mid-range"", ""Mid-range""], ""bathrooms"": [""High-end""], ""other"": {""Kitchen"": ""High-end""}}","[""Yes"", ""No"", ""No"", ""No"", ""Yes""]",1666,Ashton-under-Lyne,237970.45999999996,335174.14
"[""Full renovation""]",1,1,"{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Full renovation"": 811}}","{""bedrooms"": [0], ""bathrooms"": [0], ""other"": {""Full renovation"": 116.32710280373831}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Full renovation"": ""Budget-friendly""}}","[""Yes""]",811,Levenshulme,74977.16,217050.33
"[""Bedroom"", ""Living room""]",2,0,"{""bedrooms"": [215, 221], ""bathrooms"": [], ""other"": {""Living room"": 289}}","{""bedrooms"": [0, 0], ""bathrooms"": [], ""other"": {""Living room"": 0}}","{""bedrooms"": [""Mid-range"", ""Budget-friendly""], ""bathrooms"": [], ""other"": {""Living room"": ""Budget-friendly""}}","[""No"", ""No"", ""No""]",1220,Bury,76973.75,256302.49
"[""Kitchen"", ""Other/Custom""]",0,0,"{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Kitchen"": 289, ""Other/Custom"": 286}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Kitchen"": 0, ""Other/Custom"": 0}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Kitchen"": ""Budget-friendly"", ""Other/Custom"": ""High-end""}}","[""No"", ""No""]",1340,Chorlton,56007.3,448690.83
"[""Bathroom"", ""Other/Custom""]",0,1,"{""bedrooms"": [], ""bathrooms"": [124], ""other"": {""Other/Custom"": 415}}","{""bedrooms"": [], ""bathrooms"": [0], ""other"": {""Other/Custom"": 301}}","{""bedrooms"": [], ""bathrooms"": [""Mid-range""], ""other"": {""Other/Custom"": ""High-end""}}","[""No"", ""Yes""]",1854,Trafford,90770.48,568757.56
"[""Bedroom"", ""Bathroom"", ""Living room""]",6,4,"{""bedrooms"": [296, 274, 300, 300, 251, 321], ""bathrooms"": [148, 138, 120, 142], ""other"": {""Living room"": 425}}","{""bedrooms"": [0, 322, 0, 0, 0, 322], ""bathrooms"": [0, 151, 0, 0], ""other"": {""Living room"": 0}}","{""bedrooms"": [""Mid-range"", ""Budget-friendly"", ""Budget-friendly"", ""Mid-range"", ""High-end"", ""Budget-friendly""], ""bathrooms"": [""High-end"", ""Budget-friendly"", ""Budget-friendly"", ""High-end""], ""other"": {""Living room"": ""High-end""}}","[""No"", ""Yes"", ""No"", ""No"", ""No"", ""Yes"", ""No"", ""Yes"", ""No"", ""No"", ""No""]",3667,Bolton,446581.52,704492.04
"[""Bedroom"", ""Other/Custom""]",2,0,"{""bedrooms"": [226, 222], ""bathrooms"": [], ""other"": {""Other/Custom"": 281}}","{""bedrooms"": [0, 189.55944055944056], ""bathrooms"": [], ""other"": {""Other/Custom"": 0}}","{""bedrooms"": [""Mid-range"", ""High-end""], ""bathrooms"": [], ""other"": {""Other/Custom"": ""Budget-friendly""}}","[""No"", ""Yes"", ""No""]",1189,Didsbury,85030.39,308326.23
"[""Bathroom"", ""Other/Custom""]",0,1,"{""bedrooms"": [], ""bathrooms"": [121], ""other"": {""Other/Custom"": 411}}","{""bedrooms"": [], ""bathrooms"": [0], ""other"": {""Other/Custom"": 0}}","{""bedrooms"": [], ""bathrooms"": [""High-end""], ""other"": {""Other/Custom"": ""Mid-range""}}","[""No"", ""No""]",1998,Salford,83414.41,678298.78
"[""Bathroom"", ""Kitchen""]",0,1,"{""bedrooms"": [], ""bathrooms"": [130], ""other"": {""Kitchen"": 376}}","{""bedrooms"": [], ""bathrooms"": [0], ""other"": {""Kitchen"": 0}}","{""bedrooms"": [], ""bathrooms"": [""High-end""], ""other"": {""Kitchen"": ""High-end""}}","[""No"", ""No""]",3794,Bolton,93541.62,738417.21
"[""Bathroom"", ""Kitchen""]",0,1,"{""bedrooms"": [], ""bathrooms"": [116], ""other"": {""Kitchen"": 423}}","{""bedrooms"": [], ""bathrooms"": [0], ""other"": {""Kitchen"": 301}}","{""bedrooms"": [], ""bathrooms"": [""Budget-friendly""], ""other"": {""Kitchen"": ""Mid-range""}}","[""No"", ""Yes""]",2210,Rochdale,82541.48999999999,329334.3
"[""Bedroom"", ""Living room""]",2,0,"{""bedrooms"": [242, 277], ""bathrooms"": [], ""other"": {""Living room"": 333}}","{""bedrooms"": [0, 0], ""bathrooms"": [], ""other"": {""Living room"": 0}}","{""bedrooms"": [""High-end"", ""Budget-friendly""], ""bathrooms"": [], ""other"": {""Living room"": ""High-end""}}","[""No"", ""No"", ""No""]",1565,Bury,91672.7,308425.7
"[""Bedroom"", ""Bathroom"", ""Living room""]",3,1,"{""bedrooms"": [252, 292, 244], ""bathrooms"": [126], ""other"": {""Living room"": 348}}","{""bedrooms"": [0, 0, 0], ""bathrooms"": [0], ""other"": {""Living room"": 0}}","{""bedrooms"": [""High-end"", ""Mid-range"", ""Mid-range""], ""bathrooms"": [""Budget-friendly""], ""other"": {""Living room"": ""Budget-friendly""}}","[""No"", ""No"", ""No"", ""No"", ""No""]",1741,Cheadle,191279.72,513308.61
"[""Living room"", ""Kitchen"", ""Other/Custom""]",0,0,"{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": 142, ""Kitchen"": 191, ""Other/Custom"": 183}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": 110.96261682242991, ""Kitchen"": 110.96261682242991, ""Other/Custom"": 110.96261682242991}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": ""Mid-range"", ""Kitchen"": ""Mid-range"", ""Other/Custom"": ""High-end""}}","[""Yes"", ""Yes"", ""Yes""]",770,Levenshulme,71151.86,208468.11
"[""Bedroom"", ""Bathroom"", ""Other/Custom""]",2,1,"{""bedrooms"": [302, 272], ""bathrooms"": [149], ""other"": {""Other/Custom"": 322}}","{""bedrooms"": [0, 322], ""bathrooms"": [151], ""other"": {""Other/Custom"": 0}}","{""bedrooms"": [""Budget-friendly"", ""Budget-friendly""], ""bathrooms"": [""Mid-range""], ""other"": {""Other/Custom"": ""Mid-range""}}","[""No"", ""Yes"", ""Yes"", ""No""]",1586,Trafford,112375.05,445735.93
"[""Living room"", ""Other/Custom""]",0,0,"{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": 442, ""Other/Custom"": 413}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": 301, ""Other/Custom"": 0}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": ""Budget-friendly"", ""Other/Custom"": ""High-end""}}","[""Yes"", ""No""]",1549,Salford,63165.75,570637.57
"[""Living room"", ""Kitchen"", ""Other/Custom""]",0,0,"{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": 408, ""Kitchen"": 398, ""Other/Custom"": 444}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": 301, ""Kitchen"": 301, ""Other/Custom"": 0}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": ""High-end"", ""Kitchen"": ""Mid-range"", ""Other/Custom"": ""High-end""}}","[""Yes"", ""Yes"", ""No""]",2245,Withington,144904.15000000002,597306.13
"[""Living room"", ""Kitchen"", ""Other/Custom""]",0,0,"{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": 183, ""Kitchen"": 173, ""Other/Custom"": 196}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": 0, ""Kitchen"": 0, ""Other/Custom"": 0}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": ""Budget-friendly"", ""Kitchen"": ""Mid-range"", ""Other/Custom"": ""High-end""}}","[""No"", ""No"", ""No""]",920,Didsbury,70723.05,241103.95
"[""Living room"", ""Kitchen"", ""Other/Custom""]",0,0,"{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": 355, ""Kitchen"": 381, ""Other/Custom"": 428}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": 0, ""Kitchen"": 0, ""Other/Custom"": 0}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": ""High-end"", ""Kitchen"": ""Budget-friendly"", ""Other/Custom"": ""High-end""}}","[""No"", ""No"", ""No""]",2290,Ashton-under-Lyne,123450.95,437796.32
"[""Bedroom"", ""Bathroom"", ""Kitchen""]",3,1,"{""bedrooms"": [289, 319, 295], ""bathrooms"": [111], ""other"": {""Kitchen"": 401}}","{""bedrooms"": [0, 322, 322], ""bathrooms"": [151], ""other"": {""Kitchen"": 0}}","{""bedrooms"": [""High-end"", ""High-end"", ""Budget-friendly""], ""bathrooms"": [""High-end""], ""other"": {""Kitchen"": ""Budget-friendly""}}","[""No"", ""Yes"", ""Yes"", ""Yes"", ""No""]",1849,Ashton-under-Lyne,230597.52,350281.3
"[""Bedroom"", ""Bathroom"", ""Living room""]",3,1,"{""bedrooms"": [322, 294, 284], ""bathrooms"": [114], ""other"": {""Living room"": 400}}","{""bedrooms"": [322, 0, 0], ""bathrooms"": [0], ""other"": {""Living room"": 0}}","{""bedrooms"": [""High-end"", ""Mid-range"", ""High-end""], ""bathrooms"": [""Mid-range""], ""other"": {""Living room"": ""High-end""}}","[""Yes"", ""No"", ""No"", ""No"", ""No""]",1682,Ashton-under-Lyne,216925.12,335577.19
"[""Bedroom"", ""Bathroom"", ""Other/Custom""]",6,3,"{""bedrooms"": [320, 302, 294, 255, 313, 269], ""bathrooms"": [142, 120, 123], ""other"": {""Other/Custom"": 376}}","{""bedrooms"": [0, 0, 322, 0, 322, 0], ""bathrooms"": [0, 0, 0], ""other"": {""Other/Custom"": 301}}","{""bedrooms"": [""Mid-range"", ""Mid-range"", ""High-end"", ""High-end"", ""High-end"", ""Mid-range""], ""bathrooms"": [""Mid-range"", ""High-end"", ""Budget-friendly""], ""other"": {""Other/Custom"": ""Mid-range""}}","[""No"", ""No"", ""Yes"", ""No"", ""Yes"", ""No"", ""No"", ""No"", ""No"", ""Yes""]",3799,Bolton,430348.30999999994,723125.41
"[""Bathroom"", ""Kitchen""]",0,1,"{""bedrooms"": [], ""bathrooms"": [89], ""other"": {""Kitchen"": 187}}","{""bedrooms"": [], ""bathrooms"": [81.38940809968847], ""other"": {""Kitchen"": 141.3177570093458}}","{""bedrooms"": [], ""bathrooms"": [""High-end""], ""other"": {""Kitchen"": ""High-end""}}","[""Yes"", ""Yes""]",1002,Rochdale,57252.94,166056.68
"[""Kitchen"", ""Other/Custom""]",0,0,"{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Kitchen"": 274, ""Other/Custom"": 282}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Kitchen"": 0, ""Other/Custom"": 0}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Kitchen"": ""High-end"", ""Other/Custom"": ""Mid-range""}}","[""No"", ""No""]",1203,Levenshulme,60915.78,318874.43
"[""Bathroom"", ""Kitchen""]",0,1,"{""bedrooms"": [], ""bathrooms"": [130], ""other"": {""Kitchen"": 381}}","{""bedrooms"": [], ""bathrooms"": [0], ""other"": {""Kitchen"": 0}}","{""bedrooms"": [], ""bathrooms"": [""Budget-friendly""], ""other"": {""Kitchen"": ""Budget-friendly""}}","[""No"", ""No""]",1990,Prestwich,70077.98,498040.56
"[""Bedroom"", ""Other/Custom""]",5,0,"{""bedrooms"": [317, 296, 263, 245, 256], ""bathrooms"": [], ""other"": {""Other/Custom"": 437}}","{""bedrooms"": [0, 0, 322, 0, 0], ""bathrooms"": [], ""other"": {""Other/Custom"": 301}}","{""bedrooms"": [""High-end"", ""Budget-friendly"", ""Mid-range"", ""Mid-range"", ""Mid-range""], ""bathrooms"": [], ""other"": {""Other/Custom"": ""Mid-range""}}","[""No"", ""No"", ""Yes"", ""No"", ""No"", ""Yes""]",2711,Tameside,252324.34,503353.35
"[""Full renovation""]",4,2,"{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Full renovation"": 2350}}","{""bedrooms"": [0, 0, 0, 0], ""bathrooms"": [0, 0], ""other"": {""Full renovation"": 301}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Full renovation"": ""High-end""}}","[""Yes""]",2350,Bury,286211.38999999996,464850.56
"[""Bathroom"", ""Other/Custom""]",0,1,"{""bedrooms"": [], ""bathrooms"": [126], ""other"": {""Other/Custom"": 334}}","{""bedrooms"": [], ""bathrooms"": [0], ""other"": {""Other/Custom"": 0}}","{""bedrooms"": [], ""bathrooms"": [""High-end""], ""other"": {""Other/Custom"": ""High-end""}}","[""No"", ""No""]",6221,Altrincham,89381.08,2177460.36
"[""Kitchen"", ""Other/Custom""]",0,0,"{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Kitchen"": 362, ""Other/Custom"": 339}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Kitchen"": 0, ""Other/Custom"": 0}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Kitchen"": ""Mid-range"", ""Other/Custom"": ""Mid-range""}}","[""No"", ""No""]",2586,Oldham,79200.85,488760.0
"[""Bedroom"", ""Kitchen""]",4,0,"{""bedrooms"": [253, 268, 305, 284], ""bathrooms"": [], ""other"": {""Kitchen"": 393}}","{""bedrooms"": [322, 0, 0, 322], ""bathrooms"": [], ""other"": {""Kitchen"": 0}}","{""bedrooms"": [""Budget-friendly"", ""High-end"", ""Mid-range"", ""Budget-friendly""], ""bathrooms"": [], ""other"": {""Kitchen"": ""Mid-range""}}","[""Yes"", ""No"", ""No"", ""Yes"", ""No""]",2066,Ashton-under-Lyne,211200.47000000003,384593.93
"[""Living room"", ""Kitchen"", ""Other/Custom""]",0,0,"{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": 411, ""Kitchen"": 411, ""Other/Custom"": 353}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": 0, ""Kitchen"": 0, ""Other/Custom"": 0}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": ""Mid-range"", ""Kitchen"": ""Budget-friendly"", ""Other/Custom"": ""Mid-range""}}","[""No"", ""No"", ""No""]",6993,Altrincham,111376.82,2578422.46
"[""Kitchen"", ""Other/Custom""]",0,0,"{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Kitchen"": 331, ""Other/Custom"": 388}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Kitchen"": 0, ""Other/Custom"": 0}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Kitchen"": ""Budget-friendly"", ""Other/Custom"": ""Mid-range""}}","[""No"", ""No""]",1912,Levenshulme,76626.06,511703.88
"[""Bedroom"", ""Bathroom"", ""Other/Custom""]",1,1,"{""bedrooms"": [210], ""bathrooms"": [110], ""other"": {""Other/Custom"": 239}}","{""bedrooms"": [0], ""bathrooms"": [0], ""other"": {""Other/Custom"": 0}}","{""bedrooms"": [""Budget-friendly""], ""bathrooms"": [""Budget-friendly""], ""other"": {""Other/Custom"": ""Budget-friendly""}}","[""No"", ""No"", ""No""]",1107,Stockport,74883.24,262457.79
"[""Bedroom"", ""Other/Custom""]",13,0,"{""bedrooms"": [309, 307, 267, 264, 250, 302, 255, 302, 308, 268, 282, 306, 294], ""bathrooms"": [], ""other"": {""Other/Custom"": 416}}","{""bedrooms"": [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 322], ""bathrooms"": [], ""other"": {""Other/Custom"": 0}}","{""bedrooms"": [""Mid-range"", ""Mid-range"", ""High-end"", ""High-end"", ""Budget-friendly"", ""Mid-range"", ""Budget-friendly"", ""High-end"", ""High-end"", ""Mid-range"", ""Budget-friendly"", ""High-end"", ""Mid-range""], ""bathrooms"": [], ""other"": {""Other/Custom"": ""Mid-range""}}","[""No"", ""No"", ""No"", ""No"", ""No"", ""No"", ""No"", ""No"", ""No"", ""No"", ""No"", ""No"", ""Yes"", ""No""]",6388,Altrincham,553221.25,2310891.07
"[""Living room"", ""Kitchen""]",0,0,"{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": 304, ""Kitchen"": 448}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": 0, ""Kitchen"": 301}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": ""High-end"", ""Kitchen"": ""Mid-range""}}","[""No"", ""Yes""]",3115,Bolton,90838.98,625061.8
"[""Bedroom"", ""Bathroom"", ""Living room""]",1,1,"{""bedrooms"": [158], ""bathrooms"": [90], ""other"": {""Living room"": 195}}","{""bedrooms"": [0], ""bathrooms"": [0], ""other"": {""Living room"": 137.52336448598132}}","{""bedrooms"": [""Budget-friendly""], ""bathrooms"": [""Budget-friendly""], ""other"": {""Living room"": ""High-end""}}","[""No"", ""No"", ""Yes""]",973,Rochdale,66489.21,161577.02
"[""Bathroom"", ""Other/Custom""]",0,1,"{""bedrooms"": [], ""bathrooms"": [142], ""other"": {""Other/Custom"": 333}}","{""bedrooms"": [], ""bathrooms"": [151], ""other"": {""Other/Custom"": 0}}","{""bedrooms"": [], ""bathrooms"": [""Budget-friendly""], ""other"": {""Other/Custom"": ""Budget-friendly""}}","[""Yes"", ""No""]",3244,Oldham,71761.12,599013.48
"[""Bathroom"", ""Kitchen""]",0,1,"{""bedrooms"": [], ""bathrooms"": [61], ""other"": {""Kitchen"": 125}}","{""bedrooms"": [], ""bathrooms"": [58.08488063660478], ""other"": {""Kitchen"": 0}}","{""bedrooms"": [], ""bathrooms"": [""Budget-friendly""], ""other"": {""Kitchen"": ""Mid-range""}}","[""Yes"", ""No""]",517,Manchester City Centre,41626.24,193132.97
"[""Bedroom"", ""Other/Custom""]",7,0,"{""bedrooms"": [256, 266, 304, 279, 269, 284, 287], ""bathrooms"": [], ""other"": {""Other/Custom"": 391}}","{""bedrooms"": [322, 0, 0, 0, 0, 322, 0], ""bathrooms"": [], ""other"": {""Other/Custom"": 0}}","{""bedrooms"": [""Budget-friendly"", ""High-end"", ""Budget-friendly"", ""Mid-range"", ""Mid-range"", ""Budget-friendly"", ""High-end""], ""bathrooms"": [], ""other"": {""Other/Custom"": ""High-end""}}","[""Yes"", ""No"", ""No"", ""No"", ""No"", ""Yes"", ""No"", ""No""]",3820,Wigan,328538.81999999995,532156.11
"[""Bedroom"", ""Bathroom""]",2,1,"{""bedrooms"": [231, 221], ""bathrooms"": [100], ""other"": {}}","{""bedrooms"": [0, 187.17249417249417], ""bathrooms"": [0], ""other"": {}}","{""bedrooms"": [""Mid-range"", ""Budget-friendly""], ""bathrooms"": [""Mid-range""], ""other"": {}}","[""No"", ""Yes"", ""No""]",1173,Salford,80237.73000000001,386007.34
"[""Living room"", ""Kitchen""]",0,0,"{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": 200, ""Kitchen"": 197}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": 145.37383177570092, ""Kitchen"": 145.37383177570092}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": ""Mid-range"", ""Kitchen"": ""Mid-range""}}","[""Yes"", ""Yes""]",1033,Rochdale,48099.259999999995,170590.55
"[""Bathroom"", ""Living room""]",0,1,"{""bedrooms"": [], ""bathrooms"": [140], ""other"": {""Living room"": 408}}","{""bedrooms"": [], ""bathrooms"": [0], ""other"": {""Living room"": 0}}","{""bedrooms"": [], ""bathrooms"": [""High-end""], ""other"": {""Living room"": ""Mid-range""}}","[""No"", ""No""]",1837,Stretford,85514.08,466745.88
"[""Bathroom"", ""Living room""]",0,1,"{""bedrooms"": [], ""bathrooms"": [138], ""other"": {""Living room"": 391}}","{""bedrooms"": [], ""bathrooms"": [0], ""other"": {""Living room"": 0}}","{""bedrooms"": [], ""bathrooms"": [""High-end""], ""other"": {""Living room"": ""Mid-range""}}","[""No"", ""No""]",3322,Prestwich,85514.08,829874.85
"[""Bedroom"", ""Bathroom"", ""Living room""]",1,1,"{""bedrooms"": [168], ""bathrooms"": [90], ""other"": {""Living room"": 191}}","{""bedrooms"": [0], ""bathrooms"": [0], ""other"": {""Living room"": 0}}","{""bedrooms"": [""High-end""], ""bathrooms"": [""Budget-friendly""], ""other"": {""Living room"": ""Mid-range""}}","[""No"", ""No"", ""No""]",956,Stockport,68229.89,236148.04
"[""Living room"", ""Kitchen"", ""Other/Custom""]",0,0,"{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": 414, ""Kitchen"": 322, ""Other/Custom"": 383}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": 0, ""Kitchen"": 0, ""Other/Custom"": 0}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": ""High-end"", ""Kitchen"": ""Budget-friendly"", ""Other/Custom"": ""High-end""}}","[""No"", ""No"", ""No""]",1741,Chorlton,121968.74,544245.48
"[""Living room"", ""Kitchen""]",0,0,"{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": 411, ""Kitchen"": 345}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": 0, ""Kitchen"": 0}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": ""High-end"", ""Kitchen"": ""High-end""}}","[""No"", ""No""]",6966,Altrincham,90522.38,2379802.79
