renovation_type,bedrooms_to_reno,bathrooms_to_reno,sqft_to_add,structural_changes,sqft_renovated,material_grade,property_size,Location
"[""Other"", ""Living room"", ""Bathroom""]",0,2,"{""bedrooms"": [], ""bathrooms"": [26, 10], ""other"": {""Other"": 122, ""Living room"": 106}}","[""Yes"", ""Yes"", ""Yes"", ""Yes""]","{""bedrooms"": [], ""bathrooms"": [57, 60], ""other"": {""Other"": 206, ""Living room"": 202}}","{""bedrooms"": [], ""bathrooms"": [""Budget-friendly"", ""Mid-range""], ""other"": {""Other"": ""High-end"", ""Living room"": ""Mid-range""}}",1384,Bury
"[""Kitchen"", ""Bathroom""]",0,2,"{""bedrooms"": [], ""bathrooms"": [38, 27], ""other"": {""Kitchen"": 10}}","[""No"", ""Yes"", ""Yes""]","{""bedrooms"": [], ""bathrooms"": [51, 83], ""other"": {""Kitchen"": 176}}","{""bedrooms"": [], ""bathrooms"": [""Mid-range"", ""High-end""], ""other"": {""Kitchen"": ""Budget-friendly""}}",1031,Didsbury
"[""Kitchen""]",0,0,"{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Kitchen"": 10}}","[""Yes""]","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Kitchen"": 187}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Kitchen"": ""Budget-friendly""}}",784,Chorlton
"[""Kitchen""]",0,0,"{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Kitchen"": 160}}","[""Yes""]","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Kitchen"": 161}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Kitchen"": ""High-end""}}",1727,Stretford
"[""Kitchen"", ""Bathroom""]",0,3,"{""bedrooms"": [], ""bathrooms"": [60, 22, 33], ""other"": {""Kitchen"": 169}}","[""No"", ""Yes"", ""No"", ""No""]","{""bedrooms"": [], ""bathrooms"": [35, 92, 58], ""other"": {""Kitchen"": 170}}","{""bedrooms"": [], ""bathrooms"": [""High-end"", ""Mid-range"", ""Budget-friendly""], ""other"": {""Kitchen"": ""Mid-range""}}",2062,Cheadle
"[""Bedroom""]",1,0,"{""bedrooms"": [31], ""bathrooms"": [], ""other"": {}}","[""Yes""]","{""bedrooms"": [97], ""bathrooms"": [], ""other"": {}}","{""bedrooms"": [""High-end""], ""bathrooms"": [], ""other"": {}}",1088,Bury
"[""Bathroom"", ""Kitchen""]",0,1,"{""bedrooms"": [], ""bathrooms"": [68], ""other"": {""Kitchen"": 69}}","[""Yes"", ""Yes""]","{""bedrooms"": [], ""bathrooms"": [49], ""other"": {""Kitchen"": 159}}","{""bedrooms"": [], ""bathrooms"": [""Mid-range""], ""other"": {""Kitchen"": ""Budget-friendly""}}",1461,Altrincham
"[""Bathroom"", ""Bedroom""]",3,2,"{""bedrooms"": [185, 177, 46], ""bathrooms"": [5, 63], ""other"": {}}","[""Yes"", ""Yes"", ""Yes"", ""Yes"", ""No""]","{""bedrooms"": [88, 120, 171], ""bathrooms"": [89, 76], ""other"": {}}","{""bedrooms"": [""Mid-range"", ""Mid-range"", ""Mid-range""], ""bathrooms"": [""Mid-range"", ""Budget-friendly""], ""other"": {}}",1310,Tameside
"[""Bathroom""]",0,3,"{""bedrooms"": [], ""bathrooms"": [7, 52, 33], ""other"": {}}","[""Yes"", ""Yes"", ""Yes""]","{""bedrooms"": [], ""bathrooms"": [64, 98, 40], ""other"": {}}","{""bedrooms"": [], ""bathrooms"": [""High-end"", ""Budget-friendly"", ""High-end""], ""other"": {}}",1004,Cheadle
"[""Living room""]",0,0,"{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": 19}}","[""Yes""]","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": 213}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": ""Budget-friendly""}}",518,Salford
"[""Other""]",0,0,"{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Other"": 57}}","[""Yes""]","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Other"": 120}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Other"": ""Mid-range""}}",406,Manchester City Centre
"[""Bathroom"", ""Other"", ""Living room""]",0,3,"{""bedrooms"": [], ""bathrooms"": [17, 45, 62], ""other"": {""Other"": 127, ""Living room"": 157}}","[""No"", ""Yes"", ""No"", ""Yes"", ""Yes""]","{""bedrooms"": [], ""bathrooms"": [55, 74, 91], ""other"": {""Other"": 80, ""Living room"": 294}}","{""bedrooms"": [], ""bathrooms"": [""High-end"", ""High-end"", ""High-end""], ""other"": {""Other"": ""Budget-friendly"", ""Living room"": ""Mid-range""}}",1168,Altrincham
"[""Kitchen""]",0,0,"{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Kitchen"": 263}}","[""No""]","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Kitchen"": 300}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Kitchen"": ""Mid-range""}}",1100,Levenshulme
"[""Living room"", ""Kitchen"", ""Other""]",0,0,"{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": 102, ""Kitchen"": 148, ""Other"": 18}}","[""No"", ""Yes"", ""Yes""]","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": 236, ""Kitchen"": 205, ""Other"": 84}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": ""Mid-range"", ""Kitchen"": ""Budget-friendly"", ""Other"": ""High-end""}}",1188,Chorlton
"[""Bathroom"", ""Bedroom""]",1,3,"{""bedrooms"": [39], ""bathrooms"": [36, 5, 59], ""other"": {}}","[""Yes"", ""No"", ""Yes"", ""No""]","{""bedrooms"": [185], ""bathrooms"": [94, 97, 60], ""other"": {}}","{""bedrooms"": [""Mid-range""], ""bathrooms"": [""Budget-friendly"", ""Mid-range"", ""Mid-range""], ""other"": {}}",818,Oldham
"[""Living room""]",0,0,"{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": 188}}","[""Yes""]","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": 292}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": ""Mid-range""}}",638,Manchester City Centre
"[""Bathroom""]",0,3,"{""bedrooms"": [], ""bathrooms"": [77, 29, 30], ""other"": {}}","[""Yes"", ""Yes"", ""Yes""]","{""bedrooms"": [], ""bathrooms"": [98, 78, 60], ""other"": {}}","{""bedrooms"": [], ""bathrooms"": [""Mid-range"", ""Mid-range"", ""Budget-friendly""], ""other"": {}}",403,Manchester City Centre
"[""Other"", ""Bedroom"", ""Bathroom""]",1,2,"{""bedrooms"": [165], ""bathrooms"": [11, 69], ""other"": {""Other"": 20}}","[""No"", ""Yes"", ""Yes"", ""Yes""]","{""bedrooms"": [117], ""bathrooms"": [39, 35], ""other"": {""Other"": 217}}","{""bedrooms"": [""Budget-friendly""], ""bathrooms"": [""High-end"", ""Budget-friendly""], ""other"": {""Other"": ""High-end""}}",1085,Rochdale
"[""Other"", ""Kitchen"", ""Bedroom""]",1,0,"{""bedrooms"": [56], ""bathrooms"": [], ""other"": {""Other"": 22, ""Kitchen"": 26}}","[""No"", ""Yes"", ""Yes""]","{""bedrooms"": [118], ""bathrooms"": [], ""other"": {""Other"": 163, ""Kitchen"": 95}}","{""bedrooms"": [""Mid-range""], ""bathrooms"": [], ""other"": {""Other"": ""High-end"", ""Kitchen"": ""High-end""}}",1112,Prestwich
"[""Living room"", ""Bedroom""]",2,0,"{""bedrooms"": [42, 157], ""bathrooms"": [], ""other"": {""Living room"": 39}}","[""Yes"", ""Yes"", ""No""]","{""bedrooms"": [119, 122], ""bathrooms"": [], ""other"": {""Living room"": 268}}","{""bedrooms"": [""High-end"", ""High-end""], ""bathrooms"": [], ""other"": {""Living room"": ""Mid-range""}}",850,Salford
"[""Other""]",0,0,"{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Other"": 65}}","[""Yes""]","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Other"": 152}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Other"": ""Mid-range""}}",2487,Cheadle
"[""Bedroom""]",2,0,"{""bedrooms"": [160, 63], ""bathrooms"": [], ""other"": {}}","[""No"", ""Yes""]","{""bedrooms"": [142, 82], ""bathrooms"": [], ""other"": {}}","{""bedrooms"": [""Mid-range"", ""High-end""], ""bathrooms"": [], ""other"": {}}",807,Salford
"[""Other""]",0,0,"{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Other"": 244}}","[""No""]","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Other"": 297}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Other"": ""Budget-friendly""}}",1372,Chorlton
"[""Bedroom"", ""Kitchen""]",1,0,"{""bedrooms"": [119], ""bathrooms"": [], ""other"": {""Kitchen"": 245}}","[""No"", ""Yes""]","{""bedrooms"": [150], ""bathrooms"": [], ""other"": {""Kitchen"": 266}}","{""bedrooms"": [""Budget-friendly""], ""bathrooms"": [], ""other"": {""Kitchen"": ""High-end""}}",2182,Trafford
"[""Other""]",0,0,"{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Other"": 0}}","[""No""]","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Other"": 144}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Other"": ""High-end""}}",952,Levenshulme
"[""Bathroom"", ""Bedroom"", ""Kitchen""]",2,2,"{""bedrooms"": [126, 112], ""bathrooms"": [47, 27], ""other"": {""Kitchen"": 36}}","[""Yes"", ""Yes"", ""Yes"", ""Yes"", ""No""]","{""bedrooms"": [122, 162], ""bathrooms"": [49, 88], ""other"": {""Kitchen"": 191}}","{""bedrooms"": [""Mid-range"", ""Mid-range""], ""bathrooms"": [""High-end"", ""Mid-range""], ""other"": {""Kitchen"": ""Budget-friendly""}}",979,Altrincham
"[""Bedroom"", ""Other"", ""Kitchen""]",1,0,"{""bedrooms"": [33], ""bathrooms"": [], ""other"": {""Other"": 78, ""Kitchen"": 300}}","[""Yes"", ""Yes"", ""Yes""]","{""bedrooms"": [129], ""bathrooms"": [], ""other"": {""Other"": 182, ""Kitchen"": 168}}","{""bedrooms"": [""Budget-friendly""], ""bathrooms"": [], ""other"": {""Other"": ""Budget-friendly"", ""Kitchen"": ""Mid-range""}}",1429,Altrincham
"[""Bathroom"", ""Kitchen"", ""Living room""]",0,2,"{""bedrooms"": [], ""bathrooms"": [36, 58], ""other"": {""Kitchen"": 60, ""Living room"": 208}}","[""No"", ""Yes"", ""No"", ""Yes""]","{""bedrooms"": [], ""bathrooms"": [65, 72], ""other"": {""Kitchen"": 174, ""Living room"": 249}}","{""bedrooms"": [], ""bathrooms"": [""High-end"", ""Mid-range""], ""other"": {""Kitchen"": ""Mid-range"", ""Living room"": ""High-end""}}",1928,Cheadle
"[""Bedroom"", ""Other""]",1,0,"{""bedrooms"": [33], ""bathrooms"": [], ""other"": {""Other"": 232}}","[""Yes"", ""No""]","{""bedrooms"": [137], ""bathrooms"": [], ""other"": {""Other"": 252}}","{""bedrooms"": [""Budget-friendly""], ""bathrooms"": [], ""other"": {""Other"": ""Mid-range""}}",1889,Sale
"[""Bedroom"", ""Living room"", ""Other""]",4,0,"{""bedrooms"": [54, 44, 89, 131], ""bathrooms"": [], ""other"": {""Living room"": 118, ""Other"": 20}}","[""Yes"", ""Yes"", ""Yes"", ""No"", ""No"", ""Yes""]","{""bedrooms"": [166, 125, 133, 198], ""bathrooms"": [], ""other"": {""Living room"": 168, ""Other"": 87}}","{""bedrooms"": [""High-end"", ""Mid-range"", ""Budget-friendly"", ""Mid-range""], ""bathrooms"": [], ""other"": {""Living room"": ""Mid-range"", ""Other"": ""Budget-friendly""}}",1634,Trafford
"[""Living room"", ""Bathroom""]",0,1,"{""bedrooms"": [], ""bathrooms"": [9], ""other"": {""Living room"": 248}}","[""Yes"", ""No""]","{""bedrooms"": [], ""bathrooms"": [93], ""other"": {""Living room"": 292}}","{""bedrooms"": [], ""bathrooms"": [""High-end""], ""other"": {""Living room"": ""High-end""}}",1257,Oldham
"[""Other"", ""Kitchen""]",0,0,"{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Other"": 2, ""Kitchen"": 86}}","[""Yes"", ""Yes""]","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Other"": 170, ""Kitchen"": 260}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Other"": ""High-end"", ""Kitchen"": ""Budget-friendly""}}",786,Bury
"[""Living room""]",0,0,"{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": 57}}","[""Yes""]","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": 153}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": ""Mid-range""}}",1016,Withington
"[""Bedroom""]",4,0,"{""bedrooms"": [85, 26, 119, 95], ""bathrooms"": [], ""other"": {}}","[""Yes"", ""Yes"", ""No"", ""Yes""]","{""bedrooms"": [129, 97, 190, 122], ""bathrooms"": [], ""other"": {}}","{""bedrooms"": [""Mid-range"", ""Mid-range"", ""Mid-range"", ""Budget-friendly""], ""bathrooms"": [], ""other"": {}}",1596,Stockport
"[""Kitchen""]",0,0,"{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Kitchen"": 150}}","[""Yes""]","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Kitchen"": 138}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Kitchen"": ""Mid-range""}}",754,Bury
"[""Kitchen""]",0,0,"{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Kitchen"": 251}}","[""Yes""]","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Kitchen"": 251}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Kitchen"": ""Budget-friendly""}}",1363,Prestwich
"[""Living room""]",0,0,"{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": 257}}","[""Yes""]","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": 196}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": ""Mid-range""}}",1138,Withington
"[""Other""]",0,0,"{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Other"": 184}}","[""Yes""]","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Other"": 295}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Other"": ""Budget-friendly""}}",914,Tameside
"[""Kitchen"", ""Living room""]",0,0,"{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Kitchen"": 165, ""Living room"": 110}}","[""Yes"", ""Yes""]","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Kitchen"": 158, ""Living room"": 252}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Kitchen"": ""Budget-friendly"", ""Living room"": ""Mid-range""}}",954,Sale
"[""Living room""]",0,0,"{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": 247}}","[""Yes""]","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": 271}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": ""Mid-range""}}",1852,Altrincham
"[""Bathroom"", ""Bedroom""]",2,1,"{""bedrooms"": [99, 34], ""bathrooms"": [38], ""other"": {}}","[""Yes"", ""Yes"", ""No""]","{""bedrooms"": [139, 102], ""bathrooms"": [69], ""other"": {}}","{""bedrooms"": [""High-end"", ""Mid-range""], ""bathrooms"": [""Mid-range""], ""other"": {}}",1365,Bolton
"[""Bathroom"", ""Other""]",0,1,"{""bedrooms"": [], ""bathrooms"": [4], ""other"": {""Other"": 187}}","[""Yes"", ""Yes""]","{""bedrooms"": [], ""bathrooms"": [91], ""other"": {""Other"": 260}}","{""bedrooms"": [], ""bathrooms"": [""High-end""], ""other"": {""Other"": ""High-end""}}",1415,Bury
"[""Kitchen""]",0,0,"{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Kitchen"": 247}}","[""Yes""]","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Kitchen"": 231}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Kitchen"": ""Mid-range""}}",1235,Tameside
"[""Bathroom"", ""Other""]",0,1,"{""bedrooms"": [], ""bathrooms"": [13], ""other"": {""Other"": 73}}","[""No"", ""Yes""]","{""bedrooms"": [], ""bathrooms"": [95], ""other"": {""Other"": 259}}","{""bedrooms"": [], ""bathrooms"": [""High-end""], ""other"": {""Other"": ""Mid-range""}}",1214,Withington
"[""Living room""]",0,0,"{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": 7}}","[""No""]","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": 161}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": ""High-end""}}",1065,Ashton-under-Lyne
"[""Bathroom""]",0,3,"{""bedrooms"": [], ""bathrooms"": [43, 62, 49], ""other"": {}}","[""Yes"", ""Yes"", ""Yes""]","{""bedrooms"": [], ""bathrooms"": [56, 100, 84], ""other"": {}}","{""bedrooms"": [], ""bathrooms"": [""Mid-range"", ""Budget-friendly"", ""Mid-range""], ""other"": {}}",878,Tameside
"[""Kitchen"", ""Other""]",0,0,"{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Kitchen"": 139, ""Other"": 73}}","[""Yes"", ""No""]","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Kitchen"": 171, ""Other"": 276}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Kitchen"": ""Mid-range"", ""Other"": ""Budget-friendly""}}",881,Ashton-under-Lyne
"[""Bathroom"", ""Kitchen"", ""Living room""]",0,3,"{""bedrooms"": [], ""bathrooms"": [3, 12, 72], ""other"": {""Kitchen"": 177, ""Living room"": 49}}","[""Yes"", ""Yes"", ""Yes"", ""Yes"", ""Yes""]","{""bedrooms"": [], ""bathrooms"": [77, 99, 39], ""other"": {""Kitchen"": 206, ""Living room"": 163}}","{""bedrooms"": [], ""bathrooms"": [""Budget-friendly"", ""Budget-friendly"", ""Mid-range""], ""other"": {""Kitchen"": ""Budget-friendly"", ""Living room"": ""Mid-range""}}",1441,Stockport
"[""Living room""]",0,0,"{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": 104}}","[""Yes""]","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": 142}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": ""Mid-range""}}",1197,Levenshulme
"[""Bedroom"", ""Bathroom""]",4,2,"{""bedrooms"": [19, 58, 95, 24], ""bathrooms"": [62, 26], ""other"": {}}","[""Yes"", ""Yes"", ""Yes"", ""No"", ""Yes"", ""No""]","{""bedrooms"": [95, 133, 164, 153], ""bathrooms"": [64, 96], ""other"": {}}","{""bedrooms"": [""High-end"", ""Mid-range"", ""Budget-friendly"", ""Budget-friendly""], ""bathrooms"": [""Budget-friendly"", ""Mid-range""], ""other"": {}}",2261,Altrincham
"[""Bedroom""]",4,0,"{""bedrooms"": [27, 58, 182, 24], ""bathrooms"": [], ""other"": {}}","[""Yes"", ""No"", ""Yes"", ""No""]","{""bedrooms"": [109, 144, 184, 195], ""bathrooms"": [], ""other"": {}}","{""bedrooms"": [""Budget-friendly"", ""Mid-range"", ""High-end"", ""Budget-friendly""], ""bathrooms"": [], ""other"": {}}",1103,Levenshulme
"[""Kitchen""]",0,0,"{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Kitchen"": 158}}","[""No""]","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Kitchen"": 287}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Kitchen"": ""Mid-range""}}",1698,Stretford
"[""Bathroom"", ""Bedroom"", ""Kitchen""]",3,3,"{""bedrooms"": [83, 27, 74], ""bathrooms"": [36, 54, 8], ""other"": {""Kitchen"": 98}}","[""Yes"", ""Yes"", ""Yes"", ""Yes"", ""No"", ""Yes"", ""Yes""]","{""bedrooms"": [90, 106, 170], ""bathrooms"": [70, 50, 96], ""other"": {""Kitchen"": 149}}","{""bedrooms"": [""Budget-friendly"", ""Mid-range"", ""Mid-range""], ""bathrooms"": [""Budget-friendly"", ""Budget-friendly"", ""High-end""], ""other"": {""Kitchen"": ""Mid-range""}}",1669,Trafford
"[""Kitchen""]",0,0,"{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Kitchen"": 3}}","[""No""]","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Kitchen"": 225}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Kitchen"": ""High-end""}}",512,Manchester City Centre
"[""Kitchen""]",0,0,"{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Kitchen"": 180}}","[""Yes""]","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Kitchen"": 134}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Kitchen"": ""High-end""}}",1302,Wigan
"[""Bedroom""]",2,0,"{""bedrooms"": [169, 120], ""bathrooms"": [], ""other"": {}}","[""Yes"", ""No""]","{""bedrooms"": [114, 154], ""bathrooms"": [], ""other"": {}}","{""bedrooms"": [""Budget-friendly"", ""High-end""], ""bathrooms"": [], ""other"": {}}",812,Ashton-under-Lyne
"[""Bathroom""]",0,2,"{""bedrooms"": [], ""bathrooms"": [19, 24], ""other"": {}}","[""Yes"", ""Yes""]","{""bedrooms"": [], ""bathrooms"": [59, 40], ""other"": {}}","{""bedrooms"": [], ""bathrooms"": [""Budget-friendly"", ""Mid-range""], ""other"": {}}",803,Bolton
"[""Bathroom"", ""Living room""]",0,1,"{""bedrooms"": [], ""bathrooms"": [8], ""other"": {""Living room"": 132}}","[""Yes"", ""Yes""]","{""bedrooms"": [], ""bathrooms"": [54], ""other"": {""Living room"": 96}}","{""bedrooms"": [], ""bathrooms"": [""High-end""], ""other"": {""Living room"": ""Mid-range""}}",1696,Stockport
"[""Kitchen"", ""Bathroom"", ""Living room""]",0,2,"{""bedrooms"": [], ""bathrooms"": [71, 49], ""other"": {""Kitchen"": 62, ""Living room"": 218}}","[""Yes"", ""No"", ""Yes"", ""Yes""]","{""bedrooms"": [], ""bathrooms"": [48, 47], ""other"": {""Kitchen"": 257, ""Living room"": 274}}","{""bedrooms"": [], ""bathrooms"": [""Mid-range"", ""Budget-friendly""], ""other"": {""Kitchen"": ""High-end"", ""Living room"": ""High-end""}}",1332,Oldham
"[""Kitchen"", ""Living room"", ""Other""]",0,0,"{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Kitchen"": 81, ""Living room"": 222, ""Other"": 100}}","[""No"", ""Yes"", ""Yes""]","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Kitchen"": 130, ""Living room"": 226, ""Other"": 168}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Kitchen"": ""Mid-range"", ""Living room"": ""Budget-friendly"", ""Other"": ""High-end""}}",1059,Didsbury
"[""Bedroom"", ""Bathroom""]",1,2,"{""bedrooms"": [80], ""bathrooms"": [24, 1], ""other"": {}}","[""Yes"", ""Yes"", ""No""]","{""bedrooms"": [92], ""bathrooms"": [69, 87], ""other"": {}}","{""bedrooms"": [""Mid-range""], ""bathrooms"": [""Mid-range"", ""Budget-friendly""], ""other"": {}}",1757,Cheadle
"[""Kitchen"", ""Other""]",0,0,"{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Kitchen"": 120, ""Other"": 57}}","[""Yes"", ""Yes""]","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Kitchen"": 102, ""Other"": 222}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Kitchen"": ""High-end"", ""Other"": ""High-end""}}",759,Prestwich
"[""Bedroom""]",4,0,"{""bedrooms"": [67, 47, 62, 128], ""bathrooms"": [], ""other"": {}}","[""No"", ""Yes"", ""No"", ""Yes""]","{""bedrooms"": [165, 81, 133, 112], ""bathrooms"": [], ""other"": {}}","{""bedrooms"": [""High-end"", ""High-end"", ""Mid-range"", ""Budget-friendly""], ""bathrooms"": [], ""other"": {}}",1544,Bolton
"[""Kitchen""]",0,0,"{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Kitchen"": 113}}","[""Yes""]","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Kitchen"": 234}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Kitchen"": ""Mid-range""}}",967,Didsbury
"[""Bedroom"", ""Bathroom""]",2,3,"{""bedrooms"": [51, 115], ""bathrooms"": [76, 15, 47], ""other"": {}}","[""Yes"", ""No"", ""Yes"", ""Yes"", ""No""]","{""bedrooms"": [131, 138], ""bathrooms"": [71, 47, 55], ""other"": {}}","{""bedrooms"": [""Budget-friendly"", ""Budget-friendly""], ""bathrooms"": [""High-end"", ""Mid-range"", ""High-end""], ""other"": {}}",2355,Altrincham
"[""Bathroom"", ""Living room"", ""Kitchen""]",0,1,"{""bedrooms"": [], ""bathrooms"": [67], ""other"": {""Living room"": 41, ""Kitchen"": 0}}","[""No"", ""No"", ""Yes""]","{""bedrooms"": [], ""bathrooms"": [54], ""other"": {""Living room"": 109, ""Kitchen"": 122}}","{""bedrooms"": [], ""bathrooms"": [""High-end""], ""other"": {""Living room"": ""Budget-friendly"", ""Kitchen"": ""Mid-range""}}",1049,Prestwich
"[""Bathroom""]",0,2,"{""bedrooms"": [], ""bathrooms"": [55, 24], ""other"": {}}","[""Yes"", ""Yes""]","{""bedrooms"": [], ""bathrooms"": [58, 39], ""other"": {}}","{""bedrooms"": [], ""bathrooms"": [""Budget-friendly"", ""Budget-friendly""], ""other"": {}}",1101,Withington
"[""Bathroom""]",0,2,"{""bedrooms"": [], ""bathrooms"": [43, 42], ""other"": {}}","[""Yes"", ""Yes""]","{""bedrooms"": [], ""bathrooms"": [79, 87], ""other"": {}}","{""bedrooms"": [], ""bathrooms"": [""High-end"", ""Mid-range""], ""other"": {}}",1117,Levenshulme
"[""Bedroom"", ""Living room""]",1,0,"{""bedrooms"": [179], ""bathrooms"": [], ""other"": {""Living room"": 22}}","[""Yes"", ""No""]","{""bedrooms"": [117], ""bathrooms"": [], ""other"": {""Living room"": 117}}","{""bedrooms"": [""Budget-friendly""], ""bathrooms"": [], ""other"": {""Living room"": ""Budget-friendly""}}",1014,Sale
"[""Bathroom"", ""Kitchen"", ""Bedroom""]",2,1,"{""bedrooms"": [22, 139], ""bathrooms"": [4], ""other"": {""Kitchen"": 126}}","[""No"", ""No"", ""No"", ""No""]","{""bedrooms"": [109, 109], ""bathrooms"": [93], ""other"": {""Kitchen"": 136}}","{""bedrooms"": [""Mid-range"", ""Budget-friendly""], ""bathrooms"": [""High-end""], ""other"": {""Kitchen"": ""Mid-range""}}",1077,Cheadle
"[""Living room"", ""Bathroom"", ""Bedroom""]",1,1,"{""bedrooms"": [133], ""bathrooms"": [69], ""other"": {""Living room"": 243}}","[""No"", ""Yes"", ""No""]","{""bedrooms"": [101], ""bathrooms"": [46], ""other"": {""Living room"": 296}}","{""bedrooms"": [""Mid-range""], ""bathrooms"": [""Mid-range""], ""other"": {""Living room"": ""High-end""}}",1369,Stretford
"[""Bedroom""]",2,0,"{""bedrooms"": [62, 133], ""bathrooms"": [], ""other"": {}}","[""Yes"", ""Yes""]","{""bedrooms"": [106, 130], ""bathrooms"": [], ""other"": {}}","{""bedrooms"": [""High-end"", ""Mid-range""], ""bathrooms"": [], ""other"": {}}",1321,Oldham
"[""Bedroom"", ""Bathroom""]",1,2,"{""bedrooms"": [157], ""bathrooms"": [64, 14], ""other"": {}}","[""Yes"", ""No"", ""Yes""]","{""bedrooms"": [103], ""bathrooms"": [62, 55], ""other"": {}}","{""bedrooms"": [""Budget-friendly""], ""bathrooms"": [""Mid-range"", ""Budget-friendly""], ""other"": {}}",1498,Wigan
