renovation_type,bedrooms_to_reno,bathrooms_to_reno,sqft_to_add,structural_changes,sqft_renovated,material_grade,property_size,location,renovation_cost,pre_renovation_cost
['Kitchen'],0,0,"{'bedrooms': [], 'bathrooms': [], 'other': {'Kitchen': 61}}",['Yes'],"{'bedrooms': [], 'bathrooms': [], 'other': {'Kitchen': 179}}","{'bedrooms': [], 'bathrooms': [], 'other': {'Kitchen': 'Mid-range'}}",1102,Bury,26668.09,253460.0
['Bedroom'],2,0,"{'bedrooms': [110, 80], 'bathrooms': [], 'other': {}}","['No', 'Yes']","{'bedrooms': [150, 122], 'bathrooms': [], 'other': {}}","{'bedrooms': ['Budget-friendly', 'Mid-range'], 'bathrooms': [], 'other': {}}",838,Bury,44557.96,192740.0
['Bedroom'],2,0,"{'bedrooms': [26, 148], 'bathrooms': [], 'other': {}}","['Yes', 'Yes']","{'bedrooms': [194, 92], 'bathrooms': [], 'other': {}}","{'bedrooms': ['High-end', 'Budget-friendly'], 'bathrooms': [], 'other': {}}",1355,Wigan,56655.26,241867.5
"['Kitchen', 'Other', 'Living room']",0,0,"{'bedrooms': [], 'bathrooms': [], 'other': {'Kitchen': 66, 'Other': 82, 'Living room': 95}}","['Yes', 'Yes', 'Yes']","{'bedrooms': [], 'bathrooms': [], 'other': {'Kitchen': 205, 'Other': 144, 'Living room': 173}}","{'bedrooms': [], 'bathrooms': [], 'other': {'Kitchen': 'Budget-friendly', 'Other': 'Budget-friendly', 'Living room': 'High-end'}}",1240,Chorlton,80037.6,372000.0
"['Bathroom', 'Other', 'Living room']",0,3,"{'bedrooms': [], 'bathrooms': [42, 20, 41], 'other': {'Other': 248, 'Living room': 250}}","['Yes', 'No', 'No', 'Yes', 'Yes']","{'bedrooms': [], 'bathrooms': [44, 56, 87], 'other': {'Other': 248, 'Living room': 217}}","{'bedrooms': [], 'bathrooms': ['Budget-friendly', 'Mid-range', 'Budget-friendly'], 'other': {'Other': 'Mid-range', 'Living room': 'Budget-friendly'}}",1381,Stretford,132504.31,341797.5
['Living room'],0,0,"{'bedrooms': [], 'bathrooms': [], 'other': {'Living room': 2}}",['Yes'],"{'bedrooms': [], 'bathrooms': [], 'other': {'Living room': 210}}","{'bedrooms': [], 'bathrooms': [], 'other': {'Living room': 'Mid-range'}}",1301,Didsbury,26112.38,546420.0
['Kitchen'],0,0,"{'bedrooms': [], 'bathrooms': [], 'other': {'Kitchen': 151}}",['Yes'],"{'bedrooms': [], 'bathrooms': [], 'other': {'Kitchen': 205}}","{'bedrooms': [], 'bathrooms': [], 'other': {'Kitchen': 'Mid-range'}}",853,Withington,24497.62,300256.0
"['Other', 'Bathroom', 'Living room']",0,1,"{'bedrooms': [], 'bathrooms': [9], 'other': {'Other': 167, 'Living room': 171}}","['No', 'Yes', 'Yes']","{'bedrooms': [], 'bathrooms': [93], 'other': {'Other': 247, 'Living room': 172}}","{'bedrooms': [], 'bathrooms': ['High-end'], 'other': {'Other': 'High-end', 'Living room': 'Mid-range'}}",936,Rochdale,75848.08,133380.0
"['Other', 'Living room', 'Bedroom']",4,0,"{'bedrooms': [110, 154, 70, 14], 'bathrooms': [], 'other': {'Other': 109, 'Living room': 86}}","['Yes', 'Yes', 'No', 'Yes', 'Yes', 'Yes']","{'bedrooms': [159, 101, 192, 141], 'bathrooms': [], 'other': {'Other': 88, 'Living room': 121}}","{'bedrooms': ['Budget-friendly', 'Mid-range', 'Mid-range', 'Mid-range'], 'bathrooms': [], 'other': {'Other': 'High-end', 'Living room': 'Mid-range'}}",1744,Stretford,239084.26999999996,431640.0
"['Other', 'Living room', 'Kitchen']",0,0,"{'bedrooms': [], 'bathrooms': [], 'other': {'Other': 250, 'Living room': 11, 'Kitchen': 269}}","['Yes', 'Yes', 'Yes']","{'bedrooms': [], 'bathrooms': [], 'other': {'Other': 285, 'Living room': 120, 'Kitchen': 157}}","{'bedrooms': [], 'bathrooms': [], 'other': {'Other': 'High-end', 'Living room': 'High-end', 'Kitchen': 'Mid-range'}}",1585,Tameside,102741.79,261525.0
"['Living room', 'Bathroom']",0,3,"{'bedrooms': [], 'bathrooms': [66, 28, 73], 'other': {'Living room': 228}}","['No', 'Yes', 'Yes', 'Yes']","{'bedrooms': [], 'bathrooms': [91, 46, 57], 'other': {'Living room': 233}}","{'bedrooms': [], 'bathrooms': ['High-end', 'Budget-friendly', 'Budget-friendly'], 'other': {'Living room': 'Budget-friendly'}}",916,Chorlton,86254.15,274800.0
"['Other', 'Kitchen', 'Living room']",0,0,"{'bedrooms': [], 'bathrooms': [], 'other': {'Other': 228, 'Kitchen': 207, 'Living room': 37}}","['No', 'Yes', 'Yes']","{'bedrooms': [], 'bathrooms': [], 'other': {'Other': 196, 'Kitchen': 137, 'Living room': 268}}","{'bedrooms': [], 'bathrooms': [], 'other': {'Other': 'High-end', 'Kitchen': 'Budget-friendly', 'Living room': 'Budget-friendly'}}",1107,Prestwich,83928.17,249075.0
['Living room'],0,0,"{'bedrooms': [], 'bathrooms': [], 'other': {'Living room': 212}}",['Yes'],"{'bedrooms': [], 'bathrooms': [], 'other': {'Living room': 241}}","{'bedrooms': [], 'bathrooms': [], 'other': {'Living room': 'High-end'}}",856,Bury,28580.62,196880.0
['Living room'],0,0,"{'bedrooms': [], 'bathrooms': [], 'other': {'Living room': 206}}",['No'],"{'bedrooms': [], 'bathrooms': [], 'other': {'Living room': 202}}","{'bedrooms': [], 'bathrooms': [], 'other': {'Living room': 'Mid-range'}}",1403,Trafford,28068.3,547170.0
['Living room'],0,0,"{'bedrooms': [], 'bathrooms': [], 'other': {'Living room': 99}}",['Yes'],"{'bedrooms': [], 'bathrooms': [], 'other': {'Living room': 237}}","{'bedrooms': [], 'bathrooms': [], 'other': {'Living room': 'High-end'}}",849,Levenshulme,25693.14,246210.0
['Kitchen'],0,0,"{'bedrooms': [], 'bathrooms': [], 'other': {'Kitchen': 18}}",['Yes'],"{'bedrooms': [], 'bathrooms': [], 'other': {'Kitchen': 169}}","{'bedrooms': [], 'bathrooms': [], 'other': {'Kitchen': 'High-end'}}",662,Ashton-under-Lyne,30411.06,142330.0
['Bathroom'],0,1,"{'bedrooms': [], 'bathrooms': [75], 'other': {}}",['Yes'],"{'bedrooms': [], 'bathrooms': [88], 'other': {}}","{'bedrooms': [], 'bathrooms': ['Mid-range'], 'other': {}}",706,Stockport,21563.19,201916.0
"['Kitchen', 'Bedroom']",1,0,"{'bedrooms': [87], 'bathrooms': [], 'other': {'Kitchen': 160}}","['No', 'No']","{'bedrooms': [96], 'bathrooms': [], 'other': {'Kitchen': 235}}","{'bedrooms': ['High-end'], 'bathrooms': [], 'other': {'Kitchen': 'High-end'}}",1834,Altrincham,94942.69,577710.0
['Living room'],0,0,"{'bedrooms': [], 'bathrooms': [], 'other': {'Living room': 17}}",['Yes'],"{'bedrooms': [], 'bathrooms': [], 'other': {'Living room': 208}}","{'bedrooms': [], 'bathrooms': [], 'other': {'Living room': 'Budget-friendly'}}",909,Chorlton,21638.8,399960.0
"['Kitchen', 'Other', 'Bathroom']",0,3,"{'bedrooms': [], 'bathrooms': [50, 55, 64], 'other': {'Kitchen': 37, 'Other': 185}}","['Yes', 'Yes', 'Yes', 'Yes', 'Yes']","{'bedrooms': [], 'bathrooms': [90, 61, 76], 'other': {'Kitchen': 86, 'Other': 124}}","{'bedrooms': [], 'bathrooms': ['Mid-range', 'Budget-friendly', 'Mid-range'], 'other': {'Kitchen': 'Budget-friendly', 'Other': 'Mid-range'}}",1057,Stockport,112869.13999999998,206115.0
['Bedroom'],1,0,"{'bedrooms': [35], 'bathrooms': [], 'other': {}}",['Yes'],"{'bedrooms': [168], 'bathrooms': [], 'other': {}}","{'bedrooms': ['Mid-range'], 'bathrooms': [], 'other': {}}",1328,Didsbury,26352.48,557760.0
"['Kitchen', 'Living room']",0,0,"{'bedrooms': [], 'bathrooms': [], 'other': {'Kitchen': 300, 'Living room': 246}}","['Yes', 'Yes']","{'bedrooms': [], 'bathrooms': [], 'other': {'Kitchen': 127, 'Living room': 185}}","{'bedrooms': [], 'bathrooms': [], 'other': {'Kitchen': 'Mid-range', 'Living room': 'Mid-range'}}",1540,Oldham,60517.64,261800.0
['Kitchen'],0,0,"{'bedrooms': [], 'bathrooms': [], 'other': {'Kitchen': 63}}",['Yes'],"{'bedrooms': [], 'bathrooms': [], 'other': {'Kitchen': 230}}","{'bedrooms': [], 'bathrooms': [], 'other': {'Kitchen': 'Mid-range'}}",402,Salford,22945.53,123816.0
['Bedroom'],3,0,"{'bedrooms': [128, 31, 109], 'bathrooms': [], 'other': {}}","['Yes', 'Yes', 'Yes']","{'bedrooms': [156, 94, 130], 'bathrooms': [], 'other': {}}","{'bedrooms': ['Budget-friendly', 'Budget-friendly', 'Mid-range'], 'bathrooms': [], 'other': {}}",699,Rochdale,66395.72,112888.5
"['Living room', 'Kitchen', 'Other']",0,0,"{'bedrooms': [], 'bathrooms': [], 'other': {'Living room': 245, 'Kitchen': 203, 'Other': 122}}","['No', 'No', 'Yes']","{'bedrooms': [], 'bathrooms': [], 'other': {'Living room': 109, 'Kitchen': 128, 'Other': 220}}","{'bedrooms': [], 'bathrooms': [], 'other': {'Living room': 'High-end', 'Kitchen': 'Budget-friendly', 'Other': 'Mid-range'}}",1708,Bolton,123685.79,269010.0
"['Other', 'Kitchen', 'Bedroom']",2,0,"{'bedrooms': [152, 14], 'bathrooms': [], 'other': {'Other': 175, 'Kitchen': 123}}","['Yes', 'Yes', 'Yes', 'Yes']","{'bedrooms': [182, 86], 'bathrooms': [], 'other': {'Other': 101, 'Kitchen': 178}}","{'bedrooms': ['Mid-range', 'Mid-range'], 'bathrooms': [], 'other': {'Other': 'High-end', 'Kitchen': 'High-end'}}",1219,Bolton,119758.19,191992.5
"['Bathroom', 'Bedroom']",4,3,"{'bedrooms': [181, 66, 109, 170], 'bathrooms': [33, 7, 51], 'other': {}}","['Yes', 'Yes', 'No', 'Yes', 'Yes', 'No', 'Yes']","{'bedrooms': [145, 184, 166, 109], 'bathrooms': [79, 38, 45], 'other': {}}","{'bedrooms': ['Budget-friendly', 'Mid-range', 'Budget-friendly', 'Mid-range'], 'bathrooms': ['Mid-range', 'Mid-range', 'Budget-friendly'], 'other': {}}",1390,Bury,184496.76,239775.0
['Bedroom'],4,0,"{'bedrooms': [156, 15, 23, 8], 'bathrooms': [], 'other': {}}","['No', 'Yes', 'Yes', 'Yes']","{'bedrooms': [106, 197, 175, 137], 'bathrooms': [], 'other': {}}","{'bedrooms': ['Mid-range', 'High-end', 'Mid-range', 'Mid-range'], 'bathrooms': [], 'other': {}}",1478,Tameside,111993.05,243870.0
"['Bathroom', 'Living room']",0,2,"{'bedrooms': [], 'bathrooms': [34, 66], 'other': {'Living room': 174}}","['Yes', 'Yes', 'Yes']","{'bedrooms': [], 'bathrooms': [89, 74], 'other': {'Living room': 146}}","{'bedrooms': [], 'bathrooms': ['Budget-friendly', 'Budget-friendly'], 'other': {'Living room': 'Mid-range'}}",868,Stockport,61397.45,191828.0
"['Bathroom', 'Living room', 'Bedroom']",2,3,"{'bedrooms': [95, 125], 'bathrooms': [10, 35, 71], 'other': {'Living room': 285}}","['Yes', 'Yes', 'Yes', 'Yes', 'Yes', 'No']","{'bedrooms': [190, 151], 'bathrooms': [43, 75, 54], 'other': {'Living room': 199}}","{'bedrooms': ['Mid-range', 'Mid-range'], 'bathrooms': ['High-end', 'Budget-friendly', 'Budget-friendly'], 'other': {'Living room': 'Budget-friendly'}}",1600,Trafford,235626.83999999997,468000.0
['Bedroom'],3,0,"{'bedrooms': [40, 60, 70], 'bathrooms': [], 'other': {}}","['Yes', 'Yes', 'Yes']","{'bedrooms': [183, 164, 98], 'bathrooms': [], 'other': {}}","{'bedrooms': ['Mid-range', 'Budget-friendly', 'High-end'], 'bathrooms': [], 'other': {}}",1252,Chorlton,83007.73999999999,375600.0
['Living room'],0,0,"{'bedrooms': [], 'bathrooms': [], 'other': {'Living room': 251}}",['Yes'],"{'bedrooms': [], 'bathrooms': [], 'other': {'Living room': 156}}","{'bedrooms': [], 'bathrooms': [], 'other': {'Living room': 'Mid-range'}}",1073,Levenshulme,28818.2,311170.0
['Kitchen'],0,0,"{'bedrooms': [], 'bathrooms': [], 'other': {'Kitchen': 283}}",['Yes'],"{'bedrooms': [], 'bathrooms': [], 'other': {'Kitchen': 145}}","{'bedrooms': [], 'bathrooms': [], 'other': {'Kitchen': 'Budget-friendly'}}",1693,Rochdale,42684.17,321670.0
['Bathroom'],0,2,"{'bedrooms': [], 'bathrooms': [74, 44], 'other': {}}","['Yes', 'No']","{'bedrooms': [], 'bathrooms': [75, 82], 'other': {}}","{'bedrooms': [], 'bathrooms': ['High-end', 'Mid-range'], 'other': {}}",1716,Stockport,83514.79000000001,334620.0
['Other'],0,0,"{'bedrooms': [], 'bathrooms': [], 'other': {'Other': 41}}",['Yes'],"{'bedrooms': [], 'bathrooms': [], 'other': {'Other': 140}}","{'bedrooms': [], 'bathrooms': [], 'other': {'Other': 'High-end'}}",720,Chorlton,23403.02,316800.0
"['Other', 'Living room']",0,0,"{'bedrooms': [], 'bathrooms': [], 'other': {'Other': 169, 'Living room': 3}}","['Yes', 'Yes']","{'bedrooms': [], 'bathrooms': [], 'other': {'Other': 226, 'Living room': 198}}","{'bedrooms': [], 'bathrooms': [], 'other': {'Other': 'Budget-friendly', 'Living room': 'Budget-friendly'}}",747,Salford,42913.759999999995,209160.0
['Other'],0,0,"{'bedrooms': [], 'bathrooms': [], 'other': {'Other': 176}}",['Yes'],"{'bedrooms': [], 'bathrooms': [], 'other': {'Other': 266}}","{'bedrooms': [], 'bathrooms': [], 'other': {'Other': 'Budget-friendly'}}",882,Oldham,21274.96,194040.0
"['Other', 'Living room']",0,0,"{'bedrooms': [], 'bathrooms': [], 'other': {'Other': 117, 'Living room': 50}}","['Yes', 'Yes']","{'bedrooms': [], 'bathrooms': [], 'other': {'Other': 275, 'Living room': 90}}","{'bedrooms': [], 'bathrooms': [], 'other': {'Other': 'High-end', 'Living room': 'Mid-range'}}",564,Manchester City Centre,45916.21,167790.0
"['Living room', 'Kitchen']",0,0,"{'bedrooms': [], 'bathrooms': [], 'other': {'Living room': 83, 'Kitchen': 300}}","['Yes', 'Yes']","{'bedrooms': [], 'bathrooms': [], 'other': {'Living room': 147, 'Kitchen': 171}}","{'bedrooms': [], 'bathrooms': [], 'other': {'Living room': 'Budget-friendly', 'Kitchen': 'Mid-range'}}",1036,Stockport,52183.73,228956.0
['Bedroom'],3,0,"{'bedrooms': [93, 151, 84], 'bathrooms': [], 'other': {}}","['Yes', 'No', 'Yes']","{'bedrooms': [84, 191, 123], 'bathrooms': [], 'other': {}}","{'bedrooms': ['Budget-friendly', 'Budget-friendly', 'High-end'], 'bathrooms': [], 'other': {}}",1368,Rochdale,83797.55,194940.0
['Kitchen'],0,0,"{'bedrooms': [], 'bathrooms': [], 'other': {'Kitchen': 248}}",['Yes'],"{'bedrooms': [], 'bathrooms': [], 'other': {'Kitchen': 114}}","{'bedrooms': [], 'bathrooms': [], 'other': {'Kitchen': 'Budget-friendly'}}",1647,Stockport,37886.28,428220.0
['Kitchen'],0,0,"{'bedrooms': [], 'bathrooms': [], 'other': {'Kitchen': 15}}",['No'],"{'bedrooms': [], 'bathrooms': [], 'other': {'Kitchen': 86}}","{'bedrooms': [], 'bathrooms': [], 'other': {'Kitchen': 'Budget-friendly'}}",2091,Altrincham,35779.14,878220.0
['Other'],0,0,"{'bedrooms': [], 'bathrooms': [], 'other': {'Other': 84}}",['Yes'],"{'bedrooms': [], 'bathrooms': [], 'other': {'Other': 236}}","{'bedrooms': [], 'bathrooms': [], 'other': {'Other': 'Budget-friendly'}}",1175,Prestwich,24030.3,387750.0
"['Bedroom', 'Kitchen']",3,0,"{'bedrooms': [115, 1, 193], 'bathrooms': [], 'other': {'Kitchen': 64}}","['Yes', 'Yes', 'Yes', 'Yes']","{'bedrooms': [179, 156, 118], 'bathrooms': [], 'other': {'Kitchen': 140}}","{'bedrooms': ['Budget-friendly', 'Budget-friendly', 'High-end'], 'bathrooms': [], 'other': {'Kitchen': 'High-end'}}",1599,Altrincham,124381.02,503685.0
"['Other', 'Bathroom']",0,2,"{'bedrooms': [], 'bathrooms': [24, 59], 'other': {'Other': 25}}","['Yes', 'Yes', 'No']","{'bedrooms': [], 'bathrooms': [59, 49], 'other': {'Other': 251}}","{'bedrooms': [], 'bathrooms': ['Budget-friendly', 'Mid-range'], 'other': {'Other': 'Mid-range'}}",2286,Altrincham,109208.49,720090.0
"['Bathroom', 'Bedroom']",4,3,"{'bedrooms': [200, 111, 41, 164], 'bathrooms': [74, 20, 54], 'other': {}}","['Yes', 'No', 'Yes', 'Yes', 'Yes', 'No', 'Yes']","{'bedrooms': [163, 80, 160, 95], 'bathrooms': [41, 69, 42], 'other': {}}","{'bedrooms': ['Budget-friendly', 'High-end', 'High-end', 'Budget-friendly'], 'bathrooms': ['Budget-friendly', 'High-end', 'Budget-friendly'], 'other': {}}",1950,Cheadle,276352.01,599625.0
"['Kitchen', 'Other']",0,0,"{'bedrooms': [], 'bathrooms': [], 'other': {'Kitchen': 3, 'Other': 246}}","['Yes', 'Yes']","{'bedrooms': [], 'bathrooms': [], 'other': {'Kitchen': 210, 'Other': 137}}","{'bedrooms': [], 'bathrooms': [], 'other': {'Kitchen': 'Mid-range', 'Other': 'High-end'}}",962,Chorlton,49861.45,327080.0
"['Other', 'Bathroom']",0,1,"{'bedrooms': [], 'bathrooms': [51], 'other': {'Other': 257}}","['No', 'No']","{'bedrooms': [], 'bathrooms': [92], 'other': {'Other': 249}}","{'bedrooms': [], 'bathrooms': ['High-end'], 'other': {'Other': 'Budget-friendly'}}",802,Wigan,50633.18,143157.0
"['Kitchen', 'Bedroom']",2,0,"{'bedrooms': [148, 99], 'bathrooms': [], 'other': {'Kitchen': 130}}","['No', 'Yes', 'Yes']","{'bedrooms': [170, 144], 'bathrooms': [], 'other': {'Kitchen': 220}}","{'bedrooms': ['Budget-friendly', 'Mid-range'], 'bathrooms': [], 'other': {'Kitchen': 'Mid-range'}}",976,Withington,67791.23999999999,265472.0
"['Other', 'Bathroom', 'Kitchen']",0,2,"{'bedrooms': [], 'bathrooms': [38, 34], 'other': {'Other': 52, 'Kitchen': 26}}","['No', 'No', 'Yes', 'Yes']","{'bedrooms': [], 'bathrooms': [55, 36], 'other': {'Other': 275, 'Kitchen': 278}}","{'bedrooms': [], 'bathrooms': ['Budget-friendly', 'Budget-friendly'], 'other': {'Other': 'Mid-range', 'Kitchen': 'Budget-friendly'}}",906,Stretford,80070.91,224235.0
"['Kitchen', 'Living room', 'Bedroom']",1,0,"{'bedrooms': [25], 'bathrooms': [], 'other': {'Kitchen': 227, 'Living room': 134}}","['Yes', 'Yes', 'Yes']","{'bedrooms': [160], 'bathrooms': [], 'other': {'Kitchen': 264, 'Living room': 249}}","{'bedrooms': ['High-end'], 'bathrooms': [], 'other': {'Kitchen': 'Mid-range', 'Living room': 'High-end'}}",1641,Wigan,129009.58,258457.5
"['Bathroom', 'Living room']",0,3,"{'bedrooms': [], 'bathrooms': [58, 60, 72], 'other': {'Living room': 114}}","['No', 'Yes', 'Yes', 'Yes']","{'bedrooms': [], 'bathrooms': [97, 70, 47], 'other': {'Living room': 177}}","{'bedrooms': [], 'bathrooms': ['High-end', 'Mid-range', 'High-end'], 'other': {'Living room': 'High-end'}}",1780,Stretford,174862.78999999998,440550.0
"['Bedroom', 'Living room']",1,0,"{'bedrooms': [97], 'bathrooms': [], 'other': {'Living room': 18}}","['No', 'Yes']","{'bedrooms': [187], 'bathrooms': [], 'other': {'Living room': 190}}","{'bedrooms': ['Mid-range'], 'bathrooms': [], 'other': {'Living room': 'Budget-friendly'}}",1078,Didsbury,46767.47,384846.0
"['Living room', 'Other', 'Bedroom']",2,0,"{'bedrooms': [8, 68], 'bathrooms': [], 'other': {'Living room': 149, 'Other': 106}}","['Yes', 'Yes', 'No', 'Yes']","{'bedrooms': [112, 125], 'bathrooms': [], 'other': {'Living room': 183, 'Other': 167}}","{'bedrooms': ['Mid-range', 'Mid-range'], 'bathrooms': [], 'other': {'Living room': 'Mid-range', 'Other': 'High-end'}}",1315,Ashton-under-Lyne,107842.07,212043.75
"['Kitchen', 'Other']",0,0,"{'bedrooms': [], 'bathrooms': [], 'other': {'Kitchen': 91, 'Other': 30}}","['No', 'No']","{'bedrooms': [], 'bathrooms': [], 'other': {'Kitchen': 230, 'Other': 287}}","{'bedrooms': [], 'bathrooms': [], 'other': {'Kitchen': 'Budget-friendly', 'Other': 'Mid-range'}}",1218,Altrincham,50872.56,434826.0
['Living room'],0,0,"{'bedrooms': [], 'bathrooms': [], 'other': {'Living room': 226}}",['Yes'],"{'bedrooms': [], 'bathrooms': [], 'other': {'Living room': 95}}","{'bedrooms': [], 'bathrooms': [], 'other': {'Living room': 'Mid-range'}}",1488,Stretford,28068.3,491040.0
['Kitchen'],0,0,"{'bedrooms': [], 'bathrooms': [], 'other': {'Kitchen': 204}}",['Yes'],"{'bedrooms': [], 'bathrooms': [], 'other': {'Kitchen': 195}}","{'bedrooms': [], 'bathrooms': [], 'other': {'Kitchen': 'Budget-friendly'}}",661,Withington,23596.8,232672.0
"['Other', 'Bedroom', 'Bathroom']",3,1,"{'bedrooms': [194, 79, 3], 'bathrooms': [45], 'other': {'Other': 252}}","['Yes', 'Yes', 'Yes', 'No', 'No']","{'bedrooms': [132, 158, 83], 'bathrooms': [89], 'other': {'Other': 143}}","{'bedrooms': ['High-end', 'Mid-range', 'Mid-range'], 'bathrooms': ['Budget-friendly'], 'other': {'Other': 'Budget-friendly'}}",1210,Chorlton,139533.2,363000.0
"['Bathroom', 'Living room']",0,1,"{'bedrooms': [], 'bathrooms': [60], 'other': {'Living room': 176}}","['No', 'Yes']","{'bedrooms': [], 'bathrooms': [75], 'other': {'Living room': 263}}","{'bedrooms': [], 'bathrooms': ['High-end'], 'other': {'Living room': 'Budget-friendly'}}",912,Tameside,48672.27,170544.0
['Bedroom'],3,0,"{'bedrooms': [140, 62, 93], 'bathrooms': [], 'other': {}}","['Yes', 'No', 'Yes']","{'bedrooms': [140, 92, 98], 'bathrooms': [], 'other': {}}","{'bedrooms': ['High-end', 'High-end', 'High-end'], 'bathrooms': [], 'other': {}}",1442,Bolton,93686.37,227115.0
"['Bedroom', 'Living room']",1,0,"{'bedrooms': [77], 'bathrooms': [], 'other': {'Living room': 175}}","['No', 'Yes']","{'bedrooms': [114], 'bathrooms': [], 'other': {'Living room': 244}}","{'bedrooms': ['High-end'], 'bathrooms': [], 'other': {'Living room': 'High-end'}}",1217,Bury,64340.23,237923.5
['Living room'],0,0,"{'bedrooms': [], 'bathrooms': [], 'other': {'Living room': 151}}",['Yes'],"{'bedrooms': [], 'bathrooms': [], 'other': {'Living room': 256}}","{'bedrooms': [], 'bathrooms': [], 'other': {'Living room': 'Mid-range'}}",1264,Tameside,27803.66,278080.0
"['Other', 'Living room']",0,0,"{'bedrooms': [], 'bathrooms': [], 'other': {'Other': 25, 'Living room': 163}}","['No', 'Yes']","{'bedrooms': [], 'bathrooms': [], 'other': {'Other': 185, 'Living room': 168}}","{'bedrooms': [], 'bathrooms': [], 'other': {'Other': 'Mid-range', 'Living room': 'Mid-range'}}",863,Rochdale,44413.66,163970.0
"['Bedroom', 'Bathroom']",1,3,"{'bedrooms': [119], 'bathrooms': [20, 19, 56], 'other': {}}","['Yes', 'Yes', 'No', 'No']","{'bedrooms': [144], 'bathrooms': [58, 71, 59], 'other': {}}","{'bedrooms': ['Mid-range'], 'bathrooms': ['High-end', 'High-end', 'High-end'], 'other': {}}",1563,Altrincham,133882.1,492345.0
['Kitchen'],0,0,"{'bedrooms': [], 'bathrooms': [], 'other': {'Kitchen': 57}}",['No'],"{'bedrooms': [], 'bathrooms': [], 'other': {'Kitchen': 176}}","{'bedrooms': [], 'bathrooms': [], 'other': {'Kitchen': 'Budget-friendly'}}",1154,Didsbury,25876.67,484680.0
"['Bedroom', 'Bathroom']",3,2,"{'bedrooms': [62, 95, 68], 'bathrooms': [27, 23], 'other': {}}","['Yes', 'Yes', 'No', 'No', 'Yes']","{'bedrooms': [83, 184, 91], 'bathrooms': [39, 83], 'other': {}}","{'bedrooms': ['Budget-friendly', 'Budget-friendly', 'Mid-range'], 'bathrooms': ['Budget-friendly', 'Budget-friendly'], 'other': {}}",1361,Bolton,125266.02,214357.5
"['Bedroom', 'Other']",1,0,"{'bedrooms': [146], 'bathrooms': [], 'other': {'Other': 90}}","['Yes', 'Yes']","{'bedrooms': [136], 'bathrooms': [], 'other': {'Other': 293}}","{'bedrooms': ['Mid-range'], 'bathrooms': [], 'other': {'Other': 'Budget-friendly'}}",1167,Levenshulme,50382.78,287665.5
['Other'],0,0,"{'bedrooms': [], 'bathrooms': [], 'other': {'Other': 228}}",['Yes'],"{'bedrooms': [], 'bathrooms': [], 'other': {'Other': 230}}","{'bedrooms': [], 'bathrooms': [], 'other': {'Other': 'High-end'}}",1267,Bolton,31332.73,266070.0
"['Other', 'Kitchen']",0,0,"{'bedrooms': [], 'bathrooms': [], 'other': {'Other': 116, 'Kitchen': 277}}","['Yes', 'Yes']","{'bedrooms': [], 'bathrooms': [], 'other': {'Other': 133, 'Kitchen': 248}}","{'bedrooms': [], 'bathrooms': [], 'other': {'Other': 'High-end', 'Kitchen': 'Budget-friendly'}}",1260,Chorlton,59895.39,428400.0
"['Bedroom', 'Living room', 'Other']",1,0,"{'bedrooms': [37], 'bathrooms': [], 'other': {'Living room': 204, 'Other': 87}}","['No', 'Yes', 'No']","{'bedrooms': [199], 'bathrooms': [], 'other': {'Living room': 177, 'Other': 117}}","{'bedrooms': ['Mid-range'], 'bathrooms': [], 'other': {'Living room': 'Budget-friendly', 'Other': 'Budget-friendly'}}",1870,Trafford,111549.83,546975.0
['Bathroom'],0,3,"{'bedrooms': [], 'bathrooms': [12, 16, 43], 'other': {}}","['Yes', 'Yes', 'Yes']","{'bedrooms': [], 'bathrooms': [87, 45, 59], 'other': {}}","{'bedrooms': [], 'bathrooms': ['Mid-range', 'Budget-friendly', 'High-end'], 'other': {}}",1457,Ashton-under-Lyne,82934.54,234941.25
['Bathroom'],0,1,"{'bedrooms': [], 'bathrooms': [41], 'other': {}}",['No'],"{'bedrooms': [], 'bathrooms': [91], 'other': {}}","{'bedrooms': [], 'bathrooms': ['High-end'], 'other': {}}",462,Manchester City Centre,26102.25,161700.0
['Other'],0,0,"{'bedrooms': [], 'bathrooms': [], 'other': {'Other': 155}}",['Yes'],"{'bedrooms': [], 'bathrooms': [], 'other': {'Other': 138}}","{'bedrooms': [], 'bathrooms': [], 'other': {'Other': 'High-end'}}",1436,Stockport,30783.11,373360.0
['Other'],0,0,"{'bedrooms': [], 'bathrooms': [], 'other': {'Other': 40}}",['Yes'],"{'bedrooms': [], 'bathrooms': [], 'other': {'Other': 256}}","{'bedrooms': [], 'bathrooms': [], 'other': {'Other': 'Mid-range'}}",471,Salford,20377.63,145068.0
['Kitchen'],0,0,"{'bedrooms': [], 'bathrooms': [], 'other': {'Kitchen': 138}}",['No'],"{'bedrooms': [], 'bathrooms': [], 'other': {'Kitchen': 198}}","{'bedrooms': [], 'bathrooms': [], 'other': {'Kitchen': 'Mid-range'}}",1486,Tameside,26668.09,326920.0
['Kitchen'],0,0,"{'bedrooms': [], 'bathrooms': [], 'other': {'Kitchen': 196}}",['No'],"{'bedrooms': [], 'bathrooms': [], 'other': {'Kitchen': 206}}","{'bedrooms': [], 'bathrooms': [], 'other': {'Kitchen': 'Budget-friendly'}}",1121,Prestwich,27278.82,336300.0
